,group,time,s_MP,change,type,length,sum_change,area,surge_area,group.1,time.1,change.1,type.1,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length.1,sum_change.1,area.1,Cluster
0,1,1660221700000.0,30.0,0.5053641,surge,1,0.5053641,0.5053641,0.5053641,2.0,1660221700000.0,-0.0005333555,precursor,29.98,-0.00061780156,-1.7099723e-05,-0.00020964586,-0.0023843346,6.0,-0.0050095175,-0.030057106,Cluster 2
1,3,1660221800000.0,29.86,0.00067024137,surge,1,0.00067024137,0.00067024137,0.00067024137,4.0,1660221900000.0,0.00013456396,precursor,29.89,-0.0023578622,-2.3522462e-06,-0.00081816246,-0.0003329882,1.0,0.00013456396,0.00013456396,Cluster 2
2,5,1660221900000.0,29.88,0.001272572,surge,2,0.0018077114,0.0036154229,0.0036154229,6.0,1660222000000.0,-0.00023347716,precursor,29.94,0.0047495705,-3.5561116e-05,0.0015732626,-0.0048352946,3.0,-0.003410602,-0.010231806,Cluster 2
3,7,1660222300000.0,29.8,0.0008733601,surge,2,0.0021144191,0.0042288383,0.0042288383,8.0,1660222400000.0,-0.00050198566,precursor,29.87,-0.0009866174,2.1604317e-06,-0.00039800812,6.168737e-05,2.0,8.8558954e-07,1.7711791e-06,Cluster 2
4,9,1660222700000.0,29.9,0.0013050532,surge,1,0.0013050532,0.0013050532,0.0013050532,10.0,1660222800000.0,-0.0007679908,precursor,29.95,0.0015305184,9.736243e-06,0.00033437402,0.0010941289,7.0,-0.013770361,-0.09639253,Cluster 2
5,11,1660224400000.0,29.53,0.0030834712,surge,2,0.004638909,0.009277818,0.009277818,12.0,1660224800000.0,-0.00030335918,precursor,29.66,-0.0017047815,-2.7683524e-05,-0.0006250643,-0.0040448136,2.0,-0.0028983469,-0.0057966937,Cluster 2
6,13,1660225300000.0,29.71,0.0039589033,surge,4,0.008537104,0.034148417,0.034148417,14.0,1660227300000.0,-0.00090378337,precursor,29.9,0.0043195584,1.0136692e-05,0.0010946292,-0.00054888957,4.0,-0.023213835,-0.09285534,Cluster 2
7,15,1660229100000.0,29.08,0.0047611194,surge,1,0.0047611194,0.0047611194,0.0047611194,16.0,1660230000000.0,-0.0021431479,precursor,29.27,0.011301682,0.00017608498,0.0030046336,0.021624515,3.0,-0.006617952,-0.019853856,Cluster 2
8,17,1660232000000.0,29.12,0.00059164996,surge,1,0.00059164996,0.00059164996,0.00059164996,18.0,1660232500000.0,-0.0063579297,precursor,29.0,0.0061529097,4.541518e-06,0.00246305,0.001904774,2.0,-0.008602883,-0.017205765,Cluster 2
9,19,1660233700000.0,28.88,0.00079775625,surge,2,0.0033278482,0.0066556963,0.0066556963,20.0,1660235700000.0,-0.0017954609,precursor,28.96,-0.00087897194,-1.7552862e-05,-0.000493149,-0.0030283164,1.0,-0.0017954609,-0.0017954609,Cluster 2
10,21,1660236600000.0,28.92,0.0032916327,surge,2,0.0048802346,0.009760469,0.009760469,22.0,1660239000000.0,-0.001859208,precursor,29.01,-0.010818715,-1.908182e-05,-0.0035696947,-0.0015050246,4.0,-0.010555884,-0.042223535,Cluster 2
