mp,timeStamp,mean,skew
9.99,1692974149495,3085.6766132299435,-3075.6866132299438
9.99,1692974152187,3076.143037970063,-3066.153037970063
9.98,1692974155247,3095.1114233803974,-3085.1314233803973
9.98,1692974161184,3128.629362281421,-3118.649362281421
9.97,1692974164259,3121.005938759352,-3111.035938759352
9.97,1692974173279,3141.217602420793,-3131.247602420793
9.97,1692974179423,3143.5820254366827,-3133.612025436683
9.96,1692974182287,3136.655428872893,-3126.695428872893
9.97,1692974185458,3118.4029749980564,-3108.4329749980566
9.97,1692974191451,3096.5695521591297,-3086.59955215913
9.97,1692974194375,3085.3606244867906,-3075.390624486791
9.97,1692974197351,3075.0745642697293,-3065.1045642697295
9.96,1692974212503,3084.573478594315,-3074.613478594315
9.96,1692974218574,3083.8803805388106,-3073.9203805388106
9.96,1692974224715,3085.74843625028,-3075.78843625028
9.96,1692974227619,3086.2980766481,-3076.3380766481
9.96,1692974230749,3084.7422434766563,-3074.7822434766563
9.96,1692974242962,3086.0868826318747,-3076.1268826318747
9.96,1692974246194,3087.451998546403,-3077.491998546403
9.96,1692974251980,3090.780231108913,-3080.820231108913
9.96,1692974261065,3093.8430331824948,-3083.8830331824947
9.96,1692974267486,3095.050842511572,-3085.0908425115717
9.96,1692974270098,3096.924560968443,-3086.964560968443
9.96,1692974276200,3098.9824745909914,-3089.0224745909914
9.96,1692974285419,3107.783198154662,-3097.823198154662
9.96,1692974291390,3113.5854538115827,-3103.6254538115827
9.96,1692974297464,3112.191923758019,-3102.231923758019
9.96,1692974306647,3096.4230766380624,-3086.4630766380624
9.96,1692974322066,3067.5830796551277,-3057.6230796551276
9.96,1692974325217,3061.0717045845026,-3051.1117045845026
9.96,1692974337549,3040.2170075939666,-3030.2570075939666
9.96,1692974343615,3029.8788125198475,-3019.9188125198475
9.97,1692974349607,3032.215993126948,-3022.245993126948
9.97,1692974352831,3033.406226931688,-3023.436226931688
9.96,1692974368232,3041.267860383945,-3031.307860383945
9.96,1692974374715,3043.6439737266132,-3033.683973726613
9.96,1692974378398,3045.245140357214,-3035.285140357214
9.96,1692974383017,3046.9008954207925,-3036.9408954207925
9.96,1692974386632,3048.3618095180527,-3038.4018095180527
9.96,1692974390346,3049.8707072795532,-3039.910707279553
9.96,1692974403477,3055.454515519846,-3045.494515519846
9.97,1692974420098,3065.5900282241855,-3055.6200282241857
9.97,1692974424852,3066.621799780101,-3056.651799780101
9.97,1692974429644,3067.935335161286,-3057.965335161286
9.97,1692974434547,3069.8379551369817,-3059.867955136982
9.96,1692974439423,3071.206114700558,-3061.246114700558
9.96,1692974447466,3073.8256074670307,-3063.8656074670307
9.96,1692974452601,3073.535908458071,-3063.575908458071
9.96,1692974461024,3071.1981223890702,-3061.23812238907
9.96,1692974466470,3070.8976155882488,-3060.9376155882487
9.96,1692974471981,3071.475612172664,-3061.515612172664
9.96,1692974480751,3072.243601820976,-3062.283601820976
9.96,1692974489661,3071.3926027904777,-3061.4326027904776
9.96,1692974498814,3070.0993506849045,-3060.1393506849045
9.96,1692974505063,3069.6944589203404,-3059.7344589203403
9.95,1692974515283,3065.520731377652,-3055.570731377652
9.95,1692974522495,3064.437294751082,-3054.487294751082
9.95,1692974529000,3062.9156820198355,-3052.9656820198356
9.95,1692974535736,3061.5610352656204,-3051.6110352656206
9.95,1692974542422,3058.458705439313,-3048.508705439313
9.96,1692974551249,3053.9606456956,-3044.0006456956
9.94,1692974558032,3047.707330850869,-3037.767330850869
9.95,1692974568108,3040.6169530562297,-3030.66695305623
9.94,1692974581662,3027.241358458779,-3017.301358458779
9.94,1692974598930,3009.1113607681164,-2999.1713607681163
9.94,1692974609624,3002.744383253624,-2992.804383253624
9.95,1692974617984,3000.3771017894687,-2990.427101789469
9.94,1692974629529,2990.34253853748,-2980.40253853748
9.94,1692974734887,2906.067409468233,-2896.127409468233
9.94,1692974770295,2899.748943987585,-2889.808943987585
9.94,1692974797857,2896.6838486465776,-2886.7438486465776
9.95,1692974817074,2908.7762053091437,-2898.826205309144
9.94,1692974836532,2918.8948895646404,-2908.9548895646403
9.94,1692974853479,2917.627693538953,-2907.6876935389528
9.94,1692974867376,2915.75992488764,-2905.81992488764
9.95,1692976007416,2987.308173756067,-2977.358173756067
9.95,1692976082920,2988.588074447364,-2978.638074447364
9.95,1692976116526,2988.105335389848,-2978.155335389848
9.95,1692976150371,2987.035115680493,-2977.0851156804933
9.96,1692976184299,2985.692592039177,-2975.732592039177
9.96,1692976228358,2980.150327345888,-2970.190327345888
9.96,1692976273689,2975.5273066305504,-2965.5673066305503
9.96,1692976310112,2974.6433371598932,-2964.683337159893
10,1692976346708,2973.201942459834,-2963.201942459834
10,1692976383672,2971.0169773726166,-2961.0169773726166
9.98,1692976423722,2965.926928011037,-2955.946928011037
9.98,1692976461160,2964.2021706065293,-2954.2221706065293
9.97,1692976498888,2962.9239282322947,-2952.953928232295
9.97,1692976546826,2957.9892319712053,-2948.0192319712055
9.96,1692976585868,2958.736878966739,-2948.776878966739
9.96,1692976625392,2959.2537843806354,-2949.2937843806353
9.97,1692976664921,2960.6685590136676,-2950.698559013668
9.95,1692976715035,2963.203688694574,-2953.253688694574
9.97,1692976763009,2964.910611920524,-2954.940611920524
9.97,1692976827497,2963.030195351929,-2953.060195351929
9.98,1692976871445,2964.0525328350727,-2954.0725328350727
9.98,1692976915658,2964.8167676953303,-2954.8367676953303
9.97,1692976960176,2967.13020826113,-2957.1602082611303
9.97,1692977004800,2969.7290146978094,-2959.7590146978096
9.97,1692977052831,2974.8340905445552,-2964.8640905445554
9.99,1692977098096,2975.852025054875,-2965.862025054875
9.99,1692977154056,2981.8495067616313,-2971.8595067616316
10.01,1692977203980,2982.91235780664,-2972.90235780664
9.99,1692977251103,2982.7014554290363,-2972.7114554290365
9.99,1692977301890,2985.902036953976,-2975.9120369539764
9.99,1692977350063,2986.7646265053113,-2976.7746265053115
10,1692977398378,2988.7311291049787,-2978.7311291049787
9.99,1692977450243,2991.0596516490755,-2981.0696516490757
9.98,1692977499221,2992.89257074366,-2982.91257074366
9.98,1692977548530,2994.7583303878214,-2984.7783303878214
9.97,1692977601564,2996.484098580993,-2986.514098580993
9.97,1692977658582,3000.066086182413,-2990.0960861824133
9.97,1692977709955,3002.343549626821,-2992.3735496268214
9.98,1692977761634,3004.4700054746527,-2994.4900054746527
9.98,1692977813307,3006.913629822818,-2996.933629822818
9.99,1692977865510,3008.239851417705,-2998.249851417705
9.98,1692977917616,3011.1325372256492,-3001.152537225649
9.99,1692977973562,3013.550845909809,-3003.5608459098094
9.99,1692978026642,3014.210366899326,-3004.220366899326
9.98,1692978083395,3016.684640936035,-3006.704640936035
9.98,1692978137172,3017.592872659359,-3007.612872659359
9.98,1692978191421,3018.291223213077,-3008.311223213077
9.99,1692978249163,3020.1670394759876,-3010.177039475988
9.99,1692978328293,3028.80875966006,-3018.81875966006
9.99,1692978386468,3029.7914589707193,-3019.8014589707195
10,1692978444853,3031.621705958193,-3021.621705958193
9.98,1692978503447,3032.4467402096225,-3022.4667402096225
9.98,1692978568849,3034.6875010530134,-3024.7075010530134
9.97,1692978628592,3036.711498909661,-3026.741498909661
9.97,1692978688657,3038.84321056573,-3028.87321056573
9.98,1692978752240,3043.115792542043,-3033.135792542043
9.98,1692978813361,3044.726567388315,-3034.746567388315
9.97,1692978878135,3048.384337213852,-3038.4143372138524
9.98,1692978940228,3050.698779658535,-3040.718779658535
9.97,1692979002289,3049.9021706371104,-3039.9321706371106
9.97,1692979071703,3049.58014484077,-3039.6101448407703
9.96,1692979138907,3050.8764667022288,-3040.9164667022287
9.98,1692979203158,3051.3031701776795,-3041.3231701776795
9.98,1692979267668,3054.1843269177944,-3044.2043269177943
9.98,1692979332469,3056.821369500883,-3046.841369500883
9.99,1692979397398,3057.8906322977464,-3047.9006322977466
9.98,1692979462371,3059.029229311539,-3049.049229311539
9.96,1692979527121,3060.2229326255606,-3050.2629326255606
9.96,1692979613238,3061.0160168897582,-3051.056016889758
9.95,1692979678911,3061.249651920075,-3051.299651920075
9.95,1692979748471,3061.4762479833457,-3051.526247983346
9.96,1692979815439,3060.5592241420522,-3050.599224142052
9.97,1692979882884,3060.8775502737653,-3050.9075502737655
9.95,1692979950144,3061.7215668378103,-3051.7715668378105
9.96,1692980021208,3062.807417646752,-3052.847417646752
9.97,1692980089451,3063.1256662908113,-3053.1556662908115
9.97,1692980158121,3063.452999293689,-3053.4829992936893
9.96,1692980226720,3065.116967131803,-3055.156967131803
9.98,1692980295726,3066.852283316113,-3056.8722833161128
9.98,1692980365273,3068.42114903259,-3058.44114903259
9.98,1692980438273,3070.9982858461976,-3061.0182858461976
9.98,1692980515577,3072.0681799060853,-3062.0881799060853
9.98,1692980590444,3073.1997250814197,-3063.2197250814197
9.99,1692980662662,3073.7193901517107,-3063.729390151711
10,1692980738772,3074.672120071426,-3064.672120071426
10,1692980811709,3075.279471107746,-3065.279471107746
10,1692980885399,3075.581651428155,-3065.581651428155
9.99,1692980962305,3076.3691930817286,-3066.3791930817288
10,1692981036367,3076.6057806092367,-3066.6057806092367
9.99,1692981124627,3078.8312738980244,-3068.8412738980246
10,1692981218707,3080.007101201228,-3070.007101201228
10,1692981298234,3080.195936656923,-3070.195936656923
10,1692981385305,3080.7740735735997,-3070.7740735735997
9.99,1692981466519,3081.1793256305828,-3071.189325630583
9.98,1692981547932,3081.8835218009763,-3071.9035218009763
9.97,1692981648064,3086.9339770923207,-3076.963977092321
9.96,1692981730709,3087.256799773922,-3077.296799773922
9.96,1692981827985,3087.3993974242508,-3077.4393974242507
9.96,1692981920583,3087.5187382651798,-3077.5587382651797
9.96,1692982017937,3087.9526367369676,-3077.9926367369676
9.97,1692982106593,3087.3879616392574,-3077.4179616392576
9.98,1692982202863,3089.5755527071387,-3079.5955527071387
9.98,1692982300083,3093.486753394314,-3083.506753394314
9.98,1692982398435,3098.448842090051,-3088.468842090051
9.97,1692982502498,3098.8820488580636,-3088.912048858064
9.95,1692982595500,3098.519475665857,-3088.569475665857
9.97,1692982688590,3098.966597187775,-3088.996597187775
9.97,1692982781875,3099.4458814293803,-3089.4758814293805
9.98,1692982886696,3102.765899011095,-3092.785899011095
9.99,1692982982355,3103.69105975772,-3093.70105975772
10,1692983095047,3105.4223857323386,-3095.4223857323386
10.01,1692983191759,3105.3984023446515,-3095.3884023446512
10,1692983288549,3105.7113055451546,-3095.7113055451546
10,1692983385560,3105.9357055058344,-3095.9357055058344
10,1692983482715,3106.483703863869,-3096.483703863869
10,1692983584085,3107.505117228398,-3097.505117228398
10,1692983686636,3109.1661454117816,-3099.1661454117816
10,1692983786099,3110.033439016107,-3100.033439016107
10,1692983889684,3111.0530075836086,-3101.0530075836086
9.99,1692983994359,3112.179749788876,-3102.1897497888763
9.99,1692984096355,3112.803110373422,-3102.813110373422
9.99,1692984209151,3118.355435148852,-3108.365435148852
9.98,1692984316710,3119.104530338781,-3109.124530338781
9.99,1692984422280,3119.3172655240433,-3109.3272655240435
9.99,1692984531322,3120.248815268056,-3110.2588152680564
9.99,1692984641151,3121.5321020284,-3111.5421020284
9.99,1692984755671,3122.8691461200683,-3112.8791461200685
9.98,1692984864203,3123.814355898551,-3113.834355898551
10,1692984976730,3124.8240838143533,-3114.8240838143533
9.97,1692985086414,3125.1272504397816,-3115.157250439782
9.98,1692985196991,3125.770816626257,-3115.790816626257
9.97,1692985307283,3125.8691873430857,-3115.899187343086
9.98,1692985439324,3122.909190495741,-3112.929190495741
9.98,1692985556996,3121.950083480584,-3111.970083480584
9.98,1692985671933,3122.390146130888,-3112.410146130888
9.97,1692985790873,3123.5345132155285,-3113.5645132155287
9.99,1692985907358,3123.964686066929,-3113.9746860669293
9.99,1692986024290,3123.840094396266,-3113.8500943962663
10,1692986145303,3124.7199347094966,-3114.7199347094966
9.98,1692986268246,3126.1575602400603,-3116.1775602400603
9.98,1692986390835,3127.958135485613,-3117.978135485613
9.99,1692986514859,3128.2580759700727,-3118.268075970073
10,1692986635837,3128.637098337401,-3118.637098337401
10,1692986764706,3128.8208607764545,-3118.8208607764545
10,1692986908142,3129.3424015526007,-3119.3424015526007
9.99,1692987031944,3129.381377458604,-3119.3913774586044
9.99,1692987174810,3128.9511203095344,-3118.9611203095346
10,1692987332408,3130.618929913773,-3120.618929913773
10,1692987465871,3130.779912844151,-3120.779912844151
10.01,1692987607209,3131.546631198832,-3121.536631198832
10.03,1692987742689,3130.9130725685504,-3120.8830725685502
10.01,1692987879552,3131.0399643841315,-3121.0299643841313
10.01,1692988016057,3131.302062220453,-3121.292062220453
10,1692988160256,3134.0464956268142,-3124.0464956268142
10.01,1692988342116,3134.885683604077,-3124.8756836040766
10.02,1692988481114,3135.8473558729993,-3125.8273558729993
10.03,1692988624671,3136.846454748263,-3126.816454748263
10.04,1692988765073,3137.068770533852,-3127.028770533852
10.04,1692988905952,3137.48895986794,-3127.44895986794
10.04,1692989054677,3137.701162465121,-3127.661162465121
10.04,1692989198184,3137.130636817234,-3127.090636817234
10.04,1692989342324,3138.2389374150757,-3128.1989374150758
10.05,1692989486708,3139.092299604162,-3129.0422996041616
10.05,1692989777136,3140.0524830316403,-3130.00248303164
10.05,1692989923157,3140.5631326242574,-3130.513132624257
10.06,1692990070287,3140.52032098347,-3130.46032098347
10.06,1692990217317,3140.3438366260234,-3130.2838366260235
10.04,1692990372178,3140.55757249399,-3130.51757249399
10.04,1692990528678,3141.156772159649,-3131.116772159649
10.04,1692990679998,3141.135418840875,-3131.095418840875
10.04,1692990835458,3141.468861431495,-3131.428861431495
10.03,1692990995553,3143.004693521801,-3132.974693521801
10.05,1692991199004,3142.84327810517,-3132.79327810517
10.03,1692991357548,3144.2626904411763,-3134.232690441176
10.02,1692991521074,3143.5446363750593,-3133.5246363750593
10.02,1692991686309,3148.010646074246,-3137.990646074246
10.02,1692991845558,3149.0328853330175,-3139.0128853330175
10.02,1692992005125,3149.9747561144536,-3139.9547561144536
10.01,1692992168916,3151.1976893462247,-3141.1876893462245
10,1692992329919,3151.0670650704565,-3141.0670650704565
9.99,1692992506163,3153.565366596992,-3143.5753665969924
9.99,1692992674515,3154.0649035333627,-3144.074903533363
9.99,1692992839434,3154.414700198085,-3144.4247001980852
10,1692993004886,3155.1762366566554,-3145.1762366566554
9.98,1692993181904,3156.1259521634975,-3146.1459521634974
9.99,1692993350503,3157.395829624129,-3147.405829624129
10,1692993519378,3158.002238168264,-3148.002238168264
10,1692993699654,3160.923808187837,-3150.923808187837
9.99,1692993871213,3161.064014123994,-3151.0740141239944
10,1692994058442,3164.3175213951213,-3154.3175213951213
10,1692994241261,3166.935262119623,-3156.935262119623
10,1692994421677,3169.3581000554523,-3159.3581000554523
10,1692994603550,3170.4003923392916,-3160.4003923392916
10,1692994782940,3171.1984931210404,-3161.1984931210404
10.01,1692995000643,3170.7109305146396,-3160.7009305146394
10.01,1692995185598,3170.4375485747732,-3160.427548574773
10.01,1692995370882,3170.40062052156,-3160.39062052156
10.01,1692995556496,3170.3688316146986,-3160.3588316146984
10.01,1692995746477,3169.862776851796,-3159.8527768517956
9.99,1692995937579,3170.3973443960513,-3160.4073443960515
10,1692996141518,3174.2583397919693,-3164.2583397919693
9.99,1692996333763,3174.380385007172,-3164.3903850071724
9.99,1692996538316,3174.0523776593072,-3164.0623776593075
10.01,1692996738483,3174.2515651339536,-3164.2415651339534
10,1692996935637,3174.8641827639713,-3164.8641827639713
10.02,1692997145279,3176.7454346934646,-3166.7254346934646
10.02,1692997350091,3177.1806310989905,-3167.1606310989905
10.01,1692997556492,3177.3676203821633,-3167.357620382163
10,1692997759789,3178.003645304498,-3168.003645304498
10,1692997963267,3178.56391161991,-3168.56391161991
9.99,1692998167300,3179.8520290638708,-3169.862029063871
10,1692998375653,3181.410201057013,-3171.410201057013
10.01,1692998584923,3182.452479374363,-3172.442479374363
10,1692998791557,3183.195602368439,-3173.195602368439
9.99,1692998998032,3184.392465669419,-3174.402465669419
10,1692999205363,3184.977821716011,-3174.977821716011
10,1692999413606,3185.8020727584203,-3175.8020727584203
10,1692999622000,3186.419608424731,-3176.419608424731
10,1692999838058,3188.024851497884,-3178.024851497884
10,1693000052267,3190.6110339426477,-3180.6110339426477
10,1693000271358,3195.062183584807,-3185.062183584807
10,1693000521440,3197.807529307603,-3187.807529307603
10.02,1693000740022,3198.27565166408,-3188.2556516640802
10.02,1693000959815,3199.680810279142,-3189.660810279142
10.02,1693001188636,3201.4562935102495,-3191.4362935102495
10.03,1693001408570,3201.401611452856,-3191.3716114528556
10.04,1693001628983,3201.8453528520045,-3191.8053528520045
10.04,1693001887541,3202.559418886054,-3192.519418886054
10.03,1693002109153,3202.8939798952097,-3192.8639798952095
10.03,1693002335189,3203.697244366047,-3193.667244366047
10,1693002558357,3203.459567618097,-3193.459567618097
10,1693002782519,3203.364643105795,-3193.364643105795
10,1693003007154,3203.7308034945263,-3193.7308034945263
10.01,1693003243369,3205.316918909315,-3195.306918909315
10,1693003499777,3205.6644185889854,-3195.6644185889854
10,1693003732306,3207.785149489757,-3197.785149489757
10.06,1693003962168,3206.850985617791,-3196.790985617791
10.04,1693004199831,3204.7596899731257,-3194.7196899731257
10.05,1693004431864,3204.141887218188,-3194.091887218188
10.08,1693004664674,3203.5978871089224,-3193.5178871089224
10.06,1693004920806,3197.139371247869,-3187.079371247869
10.06,1693005171316,3195.9675781346114,-3185.9075781346114
