mp,timeStamp,mean,skew
12.3,1692041849402,4644.753090645162,-4632.453090645162
12.3,1692041855499,4644.753090645165,-4632.453090645165
12.3,1692041861453,4635.848868179388,-4623.548868179388
12.3,1692041873406,4621.327060007991,-4609.027060007991
12.3,1692041876841,4637.194318633727,-4624.8943186337265
12.3,1692041885169,4642.453040787232,-4630.1530407872315
12.3,1692041891229,4638.7140991820625,-4626.414099182062
12.3,1692041897293,4636.192002423593,-4623.892002423593
12.3,1692041906468,4638.986520550941,-4626.686520550941
12.3,1692041912445,4651.81056121794,-4639.5105612179395
12.3,1692041918611,4659.322934537372,-4647.022934537372
12.3,1692041924532,4665.907188310734,-4653.607188310734
12.3,1692041927593,4667.836477431707,-4655.536477431707
12.3,1692041930599,4669.632126954413,-4657.332126954413
12.3,1692041933651,4671.085409224269,-4658.785409224269
12.3,1692041936758,4671.213483028078,-4658.913483028078
12.3,1692041946184,4677.273593935227,-4664.973593935227
12.3,1692041948962,4679.292182007787,-4666.992182007787
12.3,1692041952357,4681.199696230337,-4668.899696230337
12.3,1692041955203,4683.005209324148,-4670.705209324148
12.3,1692041961189,4683.603383713667,-4671.303383713667
12.3,1692041964228,4684.344186109472,-4672.044186109471
12.3,1692041967190,4684.838404971765,-4672.538404971765
12.3,1692041970186,4685.309223562345,-4673.009223562345
12.3,1692041973269,4685.758279669108,-4673.4582796691075
12.3,1692041976355,4686.187098466315,-4673.8870984663145
12.3,1692041979389,4686.596747540454,-4674.296747540454
12.3,1692041982576,4686.988623465509,-4674.6886234655085
12.3,1692041985485,4687.363957223854,-4675.063957223854
12.3,1692041988437,4687.72386351061,-4675.423863510609
12.3,1692041991550,4688.0691925053325,-4675.769192505332
12.3,1692041994546,4688.400540329783,-4676.100540329783
12.3,1692041997741,4688.690220494453,-4676.3902204944525
12.3,1692042003664,4687.800516715022,-4675.500516715022
12.3,1692042009889,4688.442208942948,-4676.142208942948
12.3,1692042015891,4687.5571378336845,-4675.257137833684
12.3,1692042018883,4688.038879740389,-4675.738879740389
12.3,1692042022016,4688.617743857978,-4676.317743857978
12.3,1692042025119,4689.177743758533,-4676.877743758533
12.3,1692042031053,4688.257490038789,-4675.957490038789
12.3,1692042037286,4687.74628223893,-4675.44628223893
12.3,1692042049477,4687.905495781664,-4675.605495781664
12.3,1692042061727,4686.744609030185,-4674.444609030184
12.3,1692042074156,4685.42969895615,-4673.12969895615
12.3,1692042083769,4684.591792210403,-4672.2917922104025
12.3,1692042099963,4682.405943183268,-4670.105943183268
12.3,1692042157171,4676.492135496642,-4664.192135496642
12.3,1692042166646,4677.133691395459,-4664.833691395459
12.3,1692042177764,4678.1405425227,-4665.8405425227
12.3,1692042190992,4677.4513353609445,-4665.151335360944
12.3,1692042201467,4677.83506452428,-4665.53506452428
12.3,1692042212102,4678.61574112201,-4666.31574112201
12.3,1692042219507,4679.162004303012,-4666.862004303011
12.3,1692042243141,4681.005159661528,-4668.705159661527
12.3,1692042261505,4681.813684682843,-4669.513684682843
12.3,1692042271022,4683.039141502897,-4670.739141502897
12.3,1692042282204,4682.34011959057,-4670.04011959057
12.3,1692042291687,4681.90568574616,-4669.60568574616
12.3,1692042301493,4681.505433741994,-4669.205433741994
12.3,1692042311340,4681.617465456549,-4669.317465456549
12.3,1692042324061,4680.725007540028,-4668.425007540028
12.3,1692042343785,4686.60922013511,-4674.30922013511
12.3,1692042360534,4693.633156497358,-4681.333156497358
12.3,1692042371885,4696.085568969569,-4683.785568969569
12.3,1692042383283,4698.344350964293,-4686.044350964293
12.3,1692042394450,4701.250337896675,-4688.950337896675
12.3,1692042411816,4707.3022606951,-4695.0022606951
12.3,1692042433205,4709.953815980066,-4697.653815980066
12.3,1692042445358,4710.377450094795,-4698.077450094795
12.3,1692042496573,4719.405584113952,-4707.105584113951
12.3,1692042527504,4722.926241719138,-4710.626241719137
12.31,1692042544318,4719.8707941629855,-4707.560794162985
12.31,1692042565160,4713.666897698612,-4701.356897698612
12.31,1692042583077,4709.5638794574415,-4697.253879457441
12.31,1692042601251,4705.930604250844,-4693.620604250844
12.31,1692042618626,4703.789274908097,-4691.479274908096
12.31,1692042636086,4701.804537167434,-4689.494537167434
12.31,1692042653684,4699.843379014278,-4687.533379014278
12.31,1692042671813,4698.083928873782,-4685.773928873781
12.31,1692042689527,4699.667596423164,-4687.357596423163
12.31,1692042707475,4701.127688347129,-4688.817688347129
12.3,1692042725614,4702.954505709131,-4690.654505709131
12.3,1692042754281,4710.215873154704,-4697.915873154704
12.3,1692042780464,4715.153340160475,-4702.8533401604745
12.3,1692042803865,4717.962053195345,-4705.662053195345
12.3,1692042827261,4719.1516350289285,-4706.851635028928
12.3,1692042858016,4723.662323554499,-4711.362323554499
12.3,1692042879840,4724.783845019737,-4712.483845019737
12.3,1692042908785,4727.889359763108,-4715.5893597631075
12.3,1692042931378,4729.341758637237,-4717.041758637237
12.3,1692042954533,4730.173233673199,-4717.873233673199
