mp,timeStamp,mean,skew
10.76,1692595479246,3654.6830115664357,-3643.9230115664354
10.76,1692595487170,3656.150341750397,-3645.3903417503966
10.76,1692595494549,3657.3015557068165,-3646.5415557068163
10.76,1692595501829,3658.435328299764,-3647.675328299764
10.76,1692595509187,3659.9245543418797,-3649.1645543418795
10.76,1692595516560,3661.391269129806,-3650.631269129806
10.76,1692595524026,3662.835970861011,-3652.075970861011
10.76,1692595531513,3664.2591428900428,-3653.4991428900425
10.76,1692595539122,3665.644512532157,-3654.884512532157
10.76,1692595546777,3667.009557049827,-3656.2495570498268
10.76,1692595554500,3668.387451925733,-3657.6274519257327
10.76,1692595562495,3669.7455748721386,-3658.9855748721384
10.76,1692595570408,3671.1497090898174,-3660.389709089817
10.76,1692595587786,3674.5019387459683,-3663.741938745968
10.76,1692595596220,3675.4158890472895,-3664.6558890472893
10.76,1692595614044,3677.868414066589,-3667.108414066589
10.76,1692595629711,3679.6207250005727,-3668.8607250005725
10.76,1692595642189,3680.7124194246153,-3669.952419424615
10.76,1692595655083,3681.766294876859,-3671.0062948768586
10.76,1692595666720,3682.081014546928,-3671.321014546928
10.76,1692595683406,3682.8348088176544,-3672.0748088176542
10.76,1692595694186,3683.2068001320185,-3672.4468001320183
10.76,1692595704740,3683.3851736985503,-3672.62517369855
10.76,1692595721689,3683.727521416092,-3672.9675214160916
10.76,1692595732773,3683.850035111985,-3673.090035111985
10.76,1692595747222,3683.588461371424,-3672.8284613714236
10.76,1692595761968,3682.5727522429015,-3671.8127522429013
10.77,1692595783147,3681.6907003930355,-3670.9207003930355
10.77,1692595795377,3681.267650885589,-3670.497650885589
10.78,1692595817237,3683.9618429634083,-3673.181842963408
10.8,1692595830010,3681.1832232795455,-3670.3832232795453
10.82,1692595852557,3665.7782705614914,-3654.958270561491
10.81,1692595875422,3649.7247708067257,-3638.9147708067258
10.81,1692595895728,3638.7975672117295,-3627.9875672117296
10.81,1692595910247,3634.00369284581,-3623.19369284581
10.81,1692595928074,3625.063115334979,-3614.253115334979
10.81,1692595949429,3619.3844255305876,-3608.5744255305876
10.81,1692595964786,3617.483646581634,-3606.673646581634
10.8,1692595983366,3609.8816910426053,-3599.081691042605
10.8,1692596008661,3599.068277659245,-3588.2682776592446
10.8,1692596050823,3572.26705061521,-3561.4670506152097
10.8,1692596069050,3569.292015742206,-3558.4920157422057
10.8,1692596087460,3566.769153615881,-3555.9691536158807
10.8,1692596109215,3561.5968821342285,-3550.7968821342283
10.8,1692596128038,3558.82585608263,-3548.0258560826296
10.8,1692596150231,3553.6138582259814,-3542.813858225981
10.79,1692596169477,3551.2338307899813,-3540.4438307899813
10.79,1692596192567,3546.1985821018625,-3535.4085821018625
10.79,1692596212601,3543.395456533555,-3532.605456533555
10.79,1692596238772,3539.208591942615,-3528.418591942615
10.78,1692596259251,3539.424634722633,-3528.644634722633
10.78,1692596279729,3539.218863223134,-3528.438863223134
10.79,1692596304053,3538.441720002344,-3527.651720002344
10.78,1692596328074,3539.0887652485058,-3528.3087652485056
10.78,1692596349234,3539.9719242095734,-3529.1919242095732
10.78,1692596383495,3545.1679535585104,-3534.38795355851
10.78,1692596405997,3546.0005233591637,-3535.2205233591635
10.78,1692596435190,3547.6103180754126,-3536.8303180754124
10.79,1692596461823,3550.0942363275676,-3539.3042363275677
10.79,1692596485535,3551.1800141559293,-3540.3900141559293
10.79,1692596515833,3553.6942427803456,-3542.9042427803456
10.79,1692596540442,3553.983881305605,-3543.193881305605
10.79,1692596564999,3554.7314045755675,-3543.9414045755675
10.79,1692596589874,3555.5808986693773,-3544.7908986693774
10.78,1692596614910,3555.866918020948,-3545.086918020948
10.78,1692596640143,3556.8960110411685,-3546.1160110411683
10.77,1692596668478,3557.995472843856,-3547.225472843856
10.78,1692596694101,3559.3493282209974,-3548.5693282209972
10.78,1692596719775,3560.3773091820667,-3549.5973091820665
10.78,1692596745624,3561.2619194763924,-3550.4819194763922
10.78,1692596774743,3563.3071042359315,-3552.5271042359313
10.78,1692596801404,3564.151521637695,-3553.371521637695
10.79,1692596850396,3572.0213317132752,-3561.2313317132753
10.8,1692596881718,3575.034883806284,-3564.234883806284
10.79,1692596913502,3576.889470505875,-3566.099470505875
10.79,1692596952186,3580.3439632729433,-3569.5539632729433
10.78,1692596986183,3581.294282139071,-3570.514282139071
10.78,1692597016208,3582.4734430494113,-3571.693443049411
10.77,1692597059246,3588.1716439331544,-3577.4016439331544
10.78,1692597090392,3589.296694639295,-3578.5166946392947
10.79,1692597124949,3592.3181213213084,-3581.5281213213084
10.79,1692597163562,3596.360757144395,-3585.570757144395
10.78,1692597195873,3597.245888991375,-3586.465888991375
10.78,1692597248100,3603.217096586494,-3592.4370965864937
10.78,1692597292157,3607.248741695103,-3596.468741695103
10.78,1692597334182,3610.5036300345478,-3599.7236300345476
10.78,1692597380168,3613.480694075802,-3602.700694075802
10.78,1692597417237,3614.446644626801,-3603.666644626801
10.77,1692597454412,3614.762980779422,-3603.992980779422
10.77,1692597491941,3615.051992307025,-3604.281992307025
10.77,1692597529569,3615.239043989334,-3604.469043989334
10.77,1692597567423,3615.304125334757,-3604.534125334757
10.77,1692597605592,3615.866590292334,-3605.096590292334
10.77,1692597693450,3624.8398296429227,-3614.0698296429227
10.76,1692597736427,3624.74431295709,-3613.98431295709
10.77,1692597782927,3624.6532926130967,-3613.8832926130967
10.78,1692597829887,3625.44874034341,-3614.66874034341
10.79,1692597874206,3627.2403519638347,-3616.4503519638347
10.79,1692597918416,3628.9530006124455,-3618.1630006124456
10.79,1692597969706,3634.141064313368,-3623.351064313368
10.79,1692598014966,3635.8270033589133,-3625.0370033589134
10.79,1692598060414,3637.5073740009575,-3626.7173740009575
10.79,1692598115998,3639.7827559701705,-3628.9927559701705
10.79,1692598162622,3640.8604133441463,-3630.0704133441463
10.79,1692598209535,3641.882221068855,-3631.092221068855
10.79,1692598256502,3642.7178933949995,-3631.9278933949995
10.77,1692598304748,3642.260998365743,-3631.490998365743
10.78,1692598352418,3642.9039636048983,-3632.123963604898
10.77,1692598399996,3642.614877598113,-3631.844877598113
10.77,1692598447737,3642.3441393212156,-3631.5741393212156
10.77,1692598495938,3642.2532267185097,-3631.4832267185097
10.77,1692598544118,3642.52111623612,-3631.75111623612
10.77,1692598595831,3642.5147950589594,-3631.7447950589594
10.77,1692598644517,3642.588026216513,-3631.818026216513
10.77,1692598699834,3642.936328195212,-3632.166328195212
10.77,1692598752918,3643.491652103402,-3632.721652103402
10.77,1692598803087,3643.4636439805827,-3632.6936439805827
10.78,1692598856706,3648.064937015263,-3637.2849370152626
10.78,1692598914388,3654.875668107189,-3644.095668107189
10.78,1692598969183,3659.5888836579047,-3648.8088836579045
10.78,1692599027936,3666.505135673564,-3655.7251356735637
10.78,1692599094392,3676.5506502689946,-3665.7706502689944
10.79,1692599148695,3677.315890310269,-3666.525890310269
10.79,1692599203280,3678.7794823591234,-3667.9894823591235
10.79,1692599257999,3679.386953777724,-3668.596953777724
10.79,1692599313463,3680.1673026661224,-3669.3773026661224
10.79,1692599372691,3681.1624249501706,-3670.3724249501706
10.79,1692599448985,3685.9070901072105,-3675.1170901072105
10.78,1692599511097,3686.436514668677,-3675.6565146686767
10.77,1692599573336,3685.715427419919,-3674.945427419919
10.78,1692599632614,3685.822397941101,-3675.0423979411007
10.78,1692599722825,3685.1761790193345,-3674.3961790193343
10.77,1692599789508,3683.6376302748718,-3672.8676302748718
10.77,1692599853377,3682.857200658887,-3672.087200658887
10.77,1692599921477,3682.0932022851216,-3671.3232022851216
10.78,1692599996493,3687.48083680095,-3676.7008368009497
10.77,1692600066213,3686.483247095643,-3675.713247095643
10.77,1692600133637,3685.939652329748,-3675.169652329748
10.77,1692600211542,3683.3367801737963,-3672.5667801737964
10.77,1692600280515,3682.370362778285,-3671.600362778285
10.77,1692600353161,3680.974682915611,-3670.204682915611
10.77,1692600430297,3679.0119728294676,-3668.2419728294676
10.76,1692600515450,3673.209173328746,-3662.449173328746
10.76,1692600591868,3671.467664823925,-3660.707664823925
10.76,1692600672746,3669.025906824024,-3658.2659068240237
