bc,ac,tbv,tav,time,mp,minBid
1355000.37,12730157.06,565103.22,252632.33,1692306819599,11.12,11.08
1363695.41,12732277.63,565882.95,252823.05,1692306823596,11.12,11.08
1353393.68,12739283.17,564949.01,253441.61,1692306825498,11.12,11.08
1352624.44,12739290.70,564875.12,253442.29,1692306828473,11.12,11.08
1364434.78,12741587.35,565937.72,253649.47,1692306831705,11.13,11.08
1364433.44,12747368.61,565932.68,254169.15,1692306834560,11.13,11.08
1353629.77,12750001.94,564960.28,254405.75,1692306837458,11.13,11.08
1355655.59,12758759.54,565142.61,255193.00,1692306840662,11.13,11.08
1351054.02,12751503.58,564742.09,254547.83,1692306843737,11.12,11.08
1351243.00,12746658.63,564757.20,254119.75,1692306846612,11.12,11.08
1366727.63,12731176.93,566149.95,252725.62,1692306849578,11.12,11.08
1379106.45,12732466.80,567266.56,252841.43,1692306853241,11.12,11.08
1364186.12,12721882.77,565920.06,251898.59,1692306855449,11.12,11.08
1369086.56,12740829.86,566362.49,253591.33,1692306858478,11.12,11.08
1371139.08,12719404.18,566540.43,251662.53,1692306861454,11.12,11.08
1373567.22,12734182.16,566755.56,252987.26,1692306864606,11.12,11.08
1369679.29,12755050.97,566405.56,254858.71,1692306867471,11.12,11.08
1369775.05,12760473.05,566413.11,255346.12,1692306870506,11.12,11.08
1363339.80,12760044.35,565835.48,255308.20,1692306873600,11.12,11.08
1333350.91,12750960.94,563147.06,254501.88,1692306876589,11.12,11.08
1349442.87,12741106.69,564595.74,253619.81,1692306879536,11.12,11.08
1350434.15,12753081.02,564698.31,254703.43,1692306882478,11.11,11.07
1341696.90,12754733.60,563916.10,254857.91,1692306885581,11.1,11.06
1356907.59,12755715.74,565317.01,254951.41,1692306888534,11.09,11.05
1353885.07,12757279.56,565045.74,255095.20,1692306891474,11.09,11.05
1367032.97,12746038.29,566213.58,254075.70,1692306894516,11.1,11.05
1370900.08,12745553.17,566552.77,254027.93,1692306897500,11.11,11.05
1361881.96,12750130.71,565737.30,254440.85,1692306900519,11.11,11.05
1366607.50,12754435.89,566166.79,254827.87,1692306903514,11.11,11.05
1354748.11,12743204.66,565093.04,253818.09,1692306906516,11.11,11.05
1361471.07,12742825.05,565696.32,253781.39,1692306909468,11.11,11.05
1345752.38,12732573.67,564268.39,252858.75,1692306912462,11.12,11.05
1355178.20,12743170.20,565122.46,253812.63,1692306915851,11.11,11.05
1360344.50,12751359.47,565589.17,254548.90,1692306918485,11.11,11.05
1356867.43,12752328.46,565282.29,254641.50,1692306921647,11.1,11.05
1354064.53,12749448.59,565068.19,254395.00,1692306924493,11.09,11.05
1349419.02,12753963.32,564644.92,254800.29,1692306927499,11.09,11.05
1361122.23,12754110.05,565722.66,254812.49,1692306930463,11.09,11.05
1346952.71,12743673.15,564428.32,253868.49,1692306933590,11.1,11.05
1356114.56,12745279.25,565252.58,254011.72,1692306936769,11.1,11.05
1350238.95,12748783.03,564724.86,254328.95,1692306941531,11.1,11.05
1365486.44,12753327.59,566104.02,254740.23,1692306942859,11.1,11.05
1354436.16,12748706.52,565104.72,254325.71,1692306945776,11.1,11.05
1349361.90,12761302.54,564640.61,255457.12,1692306948803,11.1,11.05
1360826.38,12753321.32,565677.21,254735.57,1692306951769,11.1,11.05
1366574.95,12745563.19,566186.43,254035.47,1692306955394,11.1,11.05
1370776.45,12752947.89,566565.46,254699.81,1692306957769,11.1,11.05
1358532.55,12752756.07,565456.66,254682.41,1692306960819,11.1,11.05
1362010.19,12743849.18,565775.17,253881.32,1692306963969,11.1,11.05
1357399.04,12734200.53,565317.29,253004.43,1692306966769,11.12,11.05
1363393.17,12731154.00,565861.41,252730.28,1692306969772,11.12,11.05
1360112.62,12732581.37,565563.61,252861.37,1692306972989,11.12,11.05
1364735.20,12739487.58,565978.29,253481.15,1692306975811,11.12,11.05
1365923.14,12734937.41,566085.19,253071.98,1692306978808,11.12,11.05
1364739.26,12738930.67,565978.47,253431.56,1692306981794,11.12,11.05
1360623.87,12744082.62,565608.13,253895.11,1692306984780,11.12,11.05
1356434.46,12747233.83,565231.87,254180.36,1692306987901,11.12,11.05
1372214.84,12748555.43,566661.39,254301.28,1692306991665,11.11,11.05
1360400.57,12749047.66,565589.20,254344.60,1692306993852,11.11,11.05
1369946.10,12749691.99,566453.94,254402.27,1692306996790,11.11,11.05
1367017.62,12745486.61,566183.67,254022.78,1692306999811,11.11,11.05
1370411.87,12746448.87,566492.07,254109.07,1692307002815,11.11,11.05
1361643.33,12738000.38,565697.73,253348.56,1692307005867,11.12,11.05
1350012.78,12742795.27,564646.62,253778.82,1692307009303,11.12,11.05
1366213.68,12730750.12,566107.90,252695.21,1692307011907,11.12,11.05
1356406.20,12756033.85,565216.30,254949.81,1692307015022,11.13,11.05
1355780.83,12741660.91,565159.25,253657.51,1692307017801,11.13,11.05
1351739.62,12746119.24,564790.58,254058.08,1692307021155,11.13,11.05
1351732.65,12746218.53,564789.97,254067.08,1692307023861,11.13,11.05
1349923.46,12751081.18,564627.50,254503.99,1692307026797,11.13,11.05
1354563.36,12751016.79,565049.59,254498.14,1692307029816,11.13,11.05
1345848.88,12752512.74,564266.44,254644.28,1692307032820,11.12,11.05
1351906.61,12748516.89,564821.23,254295.43,1692307035795,11.12,11.05
1347163.41,12750617.19,564410.13,254491.50,1692307038819,11.11,11.05
1354806.13,12741237.82,565096.26,253653.00,1692307041866,11.1,11.05
1364237.78,12746264.98,565959.43,254109.34,1692307044832,11.1,11.05
1372476.64,12742153.30,566702.01,253739.45,1692307047786,11.1,11.05
1364523.09,12741576.88,565980.42,253686.66,1692307050789,11.1,11.05
1361885.46,12742730.36,565740.79,253788.40,1692307053811,11.11,11.05
1361494.72,12731803.50,565701.12,252802.35,1692307056891,11.11,11.05
1361652.99,12740775.21,565706.13,253605.34,1692307059884,11.12,11.05
1369309.44,12748581.22,566401.38,254308.03,1692307063107,11.11,11.05
1357793.63,12743096.38,565354.69,253813.28,1692307066114,11.11,11.05
1362693.66,12744293.74,565798.29,253919.84,1692307069121,11.11,11.05
1355245.80,12730185.06,565121.29,252657.27,1692307072315,11.11,11.05
1359770.94,12737761.47,565528.99,253330.88,1692307075152,11.11,11.05
1365273.09,12734160.96,566020.14,253004.28,1692307078851,11.12,11.05
1361614.54,12734160.91,565695.23,253004.30,1692307082496,11.12,11.05
1353749.66,12734543.94,564969.43,253017.87,1692307086427,11.13,11.05
1353208.11,12740894.64,564920.03,253587.57,1692307090787,11.13,11.05
1355881.97,12732491.48,565158.43,252831.21,1692307093386,11.13,11.05
1355505.10,12738619.72,565123.53,253379.90,1692307097814,11.13,11.05
1356607.99,12751148.67,565225.01,254506.99,1692307099344,11.13,11.05
1357434.00,12751492.66,565299.19,254538.30,1692307103649,11.13,11.05
1354110.61,12739572.67,565010.42,253477.79,1692307106492,11.12,11.05
1369190.23,12738616.86,566368.78,253391.50,1692307110776,11.12,11.05
1365415.19,12752727.37,566023.23,254651.75,1692307115252,11.13,11.05
1371070.92,12745244.06,566536.20,253980.76,1692307118577,11.13,11.05
1371274.91,12737518.31,566546.42,253284.70,1692307123361,11.13,11.05
1365596.13,12743096.83,566032.32,253786.18,1692307128070,11.13,11.05
1370592.69,12743095.19,566487.28,253786.18,1692307131106,11.13,11.05
1348838.40,12740931.14,564525.68,253590.53,1692307134082,11.13,11.05
1354101.01,12744257.12,564999.18,253888.34,1692307139720,11.13,11.05
1349100.01,12751534.21,564544.21,254542.22,1692307142164,11.13,11.05
1358408.43,12718844.38,565387.97,251615.39,1692307145143,11.12,11.05
1346648.69,12747348.58,564327.30,254178.88,1692307150452,11.12,11.05
1354492.47,12736298.19,565033.24,253185.44,1692307156068,11.12,11.05
1350434.61,12725003.30,564665.72,252162.65,1692307159047,11.12,11.05
1361731.94,12749191.27,565680.36,254333.97,1692307161906,11.13,11.05
1360853.93,12733769.09,565599.89,252947.38,1692307164941,11.13,11.05
1356393.00,12737982.84,565190.37,253324.74,1692307167943,11.13,11.05
1360281.60,12737395.93,565536.78,253270.56,1692307174379,11.13,11.05
1357868.48,12737393.14,565319.85,253270.60,1692307176957,11.13,11.05
1367388.45,12736447.50,566178.28,253184.58,1692307185058,11.13,11.05
1364885.17,12749136.25,565942.13,254306.77,1692307191274,11.13,11.05
1365025.57,12749139.07,565956.37,254306.58,1692307194410,11.13,11.05
1357173.41,12757437.30,565250.70,255052.74,1692307197285,11.13,11.05
1358820.20,12749530.55,565392.73,254342.79,1692307200341,11.13,11.05
1356666.25,12748880.01,565197.89,254284.07,1692307206945,11.13,11.05
1360165.25,12736851.32,565510.39,253201.08,1692307213610,11.14,11.05
1365025.33,12744468.85,565951.02,253885.12,1692307216653,11.14,11.05
1360543.46,12742842.17,565538.04,253738.78,1692307223572,11.14,11.05
1363957.41,12748118.12,565849.27,254213.00,1692307231135,11.14,11.05
1359299.16,12746870.30,565421.75,254100.74,1692307233958,11.14,11.05
1362823.38,12738525.32,565739.35,253350.25,1692307236500,11.14,11.05
1363187.58,12738455.92,565768.03,253343.94,1692307239533,11.14,11.05
1368365.15,12738455.92,566236.33,253343.94,1692307242564,11.14,11.05
1364523.97,12730591.75,565878.00,252611.92,1692307250379,11.15,11.05
1354377.08,12734845.74,564963.03,252992.84,1692307253430,11.15,11.05
1349443.00,12740629.73,564521.18,253514.08,1692307261692,11.15,11.05
