mp,timeStamp,mean,skew
12.66,1691516655484,3793.5688361007096,-3780.90883610071
12.67,1691516659149,3779.4238374846614,-3766.7538374846613
12.67,1691516662895,3765.0513770017515,-3752.3813770017514
12.67,1691516666767,3751.081819638406,-3738.411819638406
12.67,1691516670842,3736.4988799218027,-3723.8288799218026
12.67,1691516675211,3722.2290276654257,-3709.5590276654257
12.67,1691516679664,3708.474618952711,-3695.804618952711
12.67,1691516696365,3639.628142776987,-3626.9581427769867
12.67,1691516704213,3615.950851278681,-3603.280851278681
12.67,1691516715296,3581.4059500095996,-3568.7359500095995
12.67,1691516726693,3548.265249929839,-3535.5952499298387
12.67,1691516735311,3524.69751735372,-3512.0275173537198
12.67,1691516740972,3512.434020296672,-3499.764020296672
12.67,1691516749563,3487.7657076064093,-3475.095707606409
12.67,1691516764618,3443.654548637814,-3430.984548637814
12.67,1691516773832,3425.3482083729555,-3412.6782083729554
12.67,1691516780318,3416.3633776178235,-3403.6933776178234
12.67,1691516786780,3408.5039162362195,-3395.8339162362195
12.67,1691516793184,3402.6086994783086,-3389.9386994783085
12.66,1691516799569,3398.2952581923123,-3385.6352581923124
12.66,1691516809291,3405.6467765204584,-3392.9867765204585
12.66,1691516822422,3420.6231901443957,-3407.963190144396
12.66,1691516833032,3430.11472550699,-3417.45472550699
12.66,1691516840553,3434.4737153003935,-3421.8137153003936
12.66,1691516853994,3447.9167963769232,-3435.2567963769234
12.66,1691516864876,3456.0366802803633,-3443.3766802803634
12.66,1691516872851,3459.637879930645,-3446.977879930645
12.65,1691516880784,3463.27929103576,-3450.6292910357597
12.65,1691516896231,3472.9405995044217,-3460.2905995044216
12.65,1691516908014,3480.148585803763,-3467.498585803763
12.65,1691516916795,3483.2717588230757,-3470.6217588230757
12.65,1691516928928,3489.6783119411007,-3477.0283119411006
12.65,1691516938144,3492.6485795507065,-3479.9985795507064
12.65,1691516947405,3495.2743495874606,-3482.6243495874605
12.65,1691516975707,3509.79838293688,-3497.14838293688
12.64,1691516992519,3517.6457372939744,-3505.0057372939746
12.64,1691517003222,3519.7956425217285,-3507.1556425217286
12.64,1691517020367,3525.300904456305,-3512.660904456305
12.65,1691517035078,3526.6081049550785,-3513.9581049550784
12.65,1691517050047,3527.373515033276,-3514.723515033276
12.65,1691517065239,3528.6511371314054,-3516.0011371314054
12.65,1691517084172,3532.724366910657,-3520.074366910657
12.66,1691517096584,3532.751972841629,-3520.0919728416293
12.66,1691517109125,3533.634376162551,-3520.974376162551
12.65,1691517125338,3534.7524535563825,-3522.1024535563824
12.66,1691517144579,3535.2519209750926,-3522.5919209750928
12.66,1691517158771,3531.1142382289113,-3518.4542382289114
12.66,1691517175426,3521.8280066715724,-3509.1680066715726
12.66,1691517189439,3517.2097432010337,-3504.549743201034
12.66,1691517203797,3513.4488330221484,-3500.7888330221485
12.67,1691517221437,3513.426911693875,-3500.756911693875
12.66,1691517239181,3505.6381787111645,-3492.9781787111647
12.67,1691517257488,3501.4299479438105,-3488.7599479438104
12.67,1691517282616,3499.9231819961215,-3487.2531819961214
12.67,1691517305706,3499.2385295622203,-3486.56852956222
12.67,1691517329624,3504.1174074926016,-3491.4474074926015
12.67,1691517351292,3504.0126486031177,-3491.3426486031176
12.67,1691517373436,3504.1371081859265,-3491.4671081859265
12.67,1691517392213,3502.5247791183106,-3489.8547791183105
12.66,1691517417584,3500.4888384008896,-3487.8288384008897
12.66,1691517439973,3497.9982190661763,-3485.3382190661764
12.66,1691517468777,3493.692195449576,-3481.032195449576
12.66,1691517492153,3489.932787558085,-3477.272787558085
12.66,1691517515714,3485.922693526963,-3473.262693526963
12.66,1691517536120,3482.42020658239,-3469.7602065823903
12.66,1691517557065,3478.509591080672,-3465.8495910806723
12.66,1691517580581,3483.8594735624433,-3471.1994735624435
12.66,1691517600717,3486.44388247812,-3473.78388247812
12.67,1691517628618,3495.127823543501,-3482.457823543501
12.66,1691517651024,3496.672546434679,-3484.0125464346793
12.67,1691517676399,3500.12951985354,-3487.45951985354
