bc,ac,tbv,tav,time,mp,minBid
1205547.10,12752508.69,303072.46,250295.11,1691616945471,12.54,12.49
1202290.99,12752557.46,302810.65,250299.00,1691616948300,12.54,12.49
1205290.78,12752557.46,303051.99,250299.00,1691616951468,12.54,12.49
1205290.78,12744060.07,303051.99,249621.33,1691616954548,12.54,12.49
1205290.78,12752557.46,303051.99,250299.00,1691616957514,12.54,12.49
1205290.78,12752557.46,303051.99,250299.00,1691616960475,12.54,12.49
1205290.78,12748408.26,303051.99,249966.97,1691616963404,12.54,12.49
1208219.68,12733684.60,303284.48,248790.69,1691616966363,12.54,12.49
1205445.87,12737442.15,303063.09,249089.47,1691616969744,12.54,12.49
1202446.08,12737057.85,302821.76,249058.74,1691616972573,12.54,12.49
1205445.87,12737057.85,303063.09,249058.74,1691616975532,12.54,12.49
1206176.35,12739520.03,303120.04,249255.02,1691616978496,12.54,12.49
1209176.14,12739520.03,303361.38,249255.02,1691616981327,12.54,12.49
1205493.90,12749811.58,303067.89,250078.87,1691616984443,12.54,12.49
1223114.79,12746528.06,304486.95,249819.20,1691616987366,12.53,12.48
1220115.49,12746528.06,304245.61,249819.20,1691616990492,12.53,12.48
1220115.49,12746528.06,304245.61,249819.20,1691616993367,12.53,12.48
1220115.49,12746525.52,304245.61,249819.00,1691616996348,12.53,12.48
1223115.25,12746525.52,304487.14,249819.00,1691616999390,12.53,12.48
1220115.49,12744913.37,304245.61,249690.54,1691617002366,12.53,12.48
1223115.25,12746484.07,304487.14,249815.70,1691617005420,12.53,12.48
1223154.38,12746661.78,304490.26,249829.81,1691617008338,12.53,12.48
1220154.61,12745091.15,304248.73,249704.66,1691617011379,12.53,12.48
1223154.38,12747043.94,304490.26,249860.39,1691617014359,12.53,12.48
1219404.76,12747083.54,304188.81,249863.69,1691617017344,12.53,12.48
1219404.76,12747083.54,304188.81,249863.69,1691617020594,12.53,12.48
1220843.82,12745089.30,304303.75,249704.66,1691617023391,12.53,12.48
1220843.82,12745089.30,304303.75,249704.66,1691617026468,12.53,12.48
1223840.36,12745130.69,304545.28,249707.96,1691617029371,12.53,12.48
1212720.81,12747047.07,303655.42,249861.47,1691617032450,12.53,12.48
1202068.83,12744662.40,302815.52,249680.96,1691617035363,12.53,12.48
1202503.35,12744827.44,302850.25,249694.54,1691617038391,12.53,12.48
1196958.03,12749997.18,302407.01,250107.96,1691617041348,12.53,12.48
1198515.69,12758505.81,302533.88,250793.32,1691617044389,12.53,12.48
1196942.61,12755392.18,302406.46,250545.87,1691617047506,12.53,12.48
1199942.37,12755391.30,302647.99,250545.87,1691617050597,12.53,12.48
1210007.62,12755388.54,303453.50,250545.87,1691617053367,12.53,12.48
