,Unnamed: 0,group,time,s_MP,change,type,length,sum_change,s_area,surge_area,p_group,p_time,p_change,p_type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,p_length,p_sum_change,p_area,Cluster,efficiency
0,0,1,1660221700000.0,29.99,0.31758836,surge,1,0.31758836,0.31758836,0.31758836,2.0,1660221700000.0,-0.00046667774,precursor,30.0,7349599.5,1229796400.0,716681.94,314676.4,6.0,-0.0049426835,-0.029656101,Cluster 2,3.25%
1,1,3,1660221800000.0,29.85,0.00046924755,surge,1,0.00046924755,0.00046924755,0.00046924755,4.0,1660221900000.0,0.0004024026,precursor,29.9,7307990.0,1229792300.0,715352.9,314642.84,1.0,0.0004024026,0.0004024026,Cluster 2,3.25%
2,2,5,1660221900000.0,29.87,0.0011052807,surge,2,0.001607009,0.003214018,0.003214018,6.0,1660222000000.0,-6.626422e-05,precursor,29.92,7285245.0,1229754200.0,714476.1,313576.0,4.0,-0.002772557,-0.011090228,Cluster 2,3.25%
3,3,7,1660222300000.0,29.89,0.001610198,surge,1,0.001610198,0.001610198,0.001610198,8.0,1660222400000.0,-0.00043504004,precursor,29.88,7318707.0,1229743600.0,715730.56,313546.6,2.0,-0.0002000746,-0.0004001492,Cluster 2,3.25%
4,4,9,1660222700000.0,29.9,0.001372223,surge,1,0.001372223,0.001372223,0.001372223,10.0,1660222800000.0,-0.00053401117,precursor,29.93,7280582.0,1229793700.0,714140.1,314889.38,7.0,-0.013670027,-0.09569019,Cluster 2,3.25%
5,5,11,1660224300000.0,29.51,0.002710716,surge,2,0.004503865,0.00900773,0.00900773,12.0,1660224800000.0,3.3977354e-05,precursor,29.66,7192100.0,1229818500.0,711844.5,316865.84,2.0,-0.0028984381,-0.0057968763,Cluster 2,3.25%
6,6,13,1660225300000.0,29.64,0.0039253477,surge,4,0.008504624,0.034018494,0.034018494,14.0,1660227200000.0,-0.000100290024,precursor,29.88,6762680.5,1229625100.0,695887.25,309452.03,4.0,-0.022092864,-0.088371456,Cluster 2,3.25%
7,7,15,1660229100000.0,29.09,0.0032233726,surge,1,0.0032233726,0.0032233726,0.0032233726,16.0,1660229900000.0,-0.0010119331,precursor,29.26,6933826.0,1229730400.0,703316.1,316707.97,3.0,-0.0061023114,-0.018306933,Cluster 2,3.25%
8,8,17,1660232000000.0,29.11,0.0010726316,surge,1,0.0010726316,0.0010726316,0.0010726316,18.0,1660232500000.0,-0.006287234,precursor,28.99,6876311.0,1229634000.0,702062.44,315565.9,2.0,-0.009119099,-0.018238198,Cluster 2,3.25%
9,9,19,1660233700000.0,28.88,0.0007286122,surge,2,0.0033281357,0.0066562714,0.0066562714,20.0,1660235500000.0,-0.0015536408,precursor,28.96,6886683.5,1229781000.0,702584.75,320755.34,1.0,-0.0015536408,-0.0015536408,Cluster 2,3.25%
10,10,21,1660236600000.0,28.92,0.0028423078,surge,2,0.0046731713,0.009346343,0.009346343,22.0,1660238800000.0,-0.0013080066,precursor,29.03,6824351.0,1229731200.0,700080.0,319075.7,4.0,-0.01094117,-0.04376468,Cluster 2,3.25%
11,11,23,1660242900000.0,28.75,0.0040772557,surge,1,0.0040772557,0.0040772557,0.0040772557,24.0,1660244200000.0,-0.000100378726,precursor,28.82,6824674.0,1229662300.0,701495.75,323397.1,1.0,-0.000100378726,-0.000100378726,Cluster 2,3.25%
12,12,25,1660246300000.0,28.86,0.0022920927,surge,1,0.0022920927,0.0022920927,0.0022920927,26.0,1660247700000.0,-0.0011753925,precursor,28.92,5620973.5,1227103600.0,659097.94,236339.55,1.0,-0.0011753925,-0.0011753925,Cluster 2,3.25%
13,13,27,1660249400000.0,28.79,0.0011124412,surge,2,0.0031590837,0.0063181673,0.0063181673,28.0,1660254300000.0,-0.0030405484,precursor,28.81,7321687.0,1229590500.0,719092.3,322522.5,1.0,-0.0030405484,-0.0030405484,Cluster 2,3.25%
14,14,29,1660255300000.0,29.03,0.007742168,surge,1,0.007742168,0.007742168,0.007742168,30.0,1660257000000.0,-0.0022671944,precursor,28.96,7336562.0,1229861100.0,718697.06,331183.56,4.0,-0.023623005,-0.09449202,Cluster 2,3.25%
15,15,31,1660264500000.0,28.54,0.008098503,surge,2,0.013061094,0.026122188,0.026122188,32.0,1660268800000.0,-0.0022244842,precursor,28.71,7032671.0,1229859200.0,709364.2,332073.2,1.0,-0.0022244842,-0.0022244842,Cluster 2,3.25%
16,16,33,1660271000000.0,28.59,0.0105617745,surge,2,0.012168655,0.02433731,0.02433731,34.0,1660276300000.0,-0.0017849155,precursor,29.02,7060985.5,1229884900.0,708736.25,332953.34,2.0,-0.005335847,-0.010671694,Cluster 2,3.25%
17,17,35,1660281300000.0,28.88,0.0007621317,surge,1,0.0007621317,0.0007621317,0.0007621317,36.0,1660283700000.0,-0.00020730143,precursor,28.9,7123524.5,1229756900.0,711479.4,328861.62,2.0,-0.005080907,-0.010161814,Cluster 2,3.25%
18,18,37,1660287600000.0,28.84,0.00083828345,surge,3,0.008189521,0.024568561,0.024568561,38.0,1660298700000.0,-0.005740506,precursor,28.94,6736311.0,1230393300.0,697632.6,326637.84,2.0,-0.01645401,-0.03290802,Cluster 2,3.25%
19,19,39,1660304900000.0,28.39,0.00083190773,surge,1,0.00083190773,0.00083190773,0.00083190773,40.0,1660309700000.0,-0.21272928,precursor,28.71,5504563.0,1228166300.0,654295.94,252291.02,1.0,-0.21272928,-0.21272928,Cluster 2,3.25%
20,20,41,1660311200000.0,28.67,0.62170225,surge,1,0.62170225,0.62170225,0.62170225,42.0,1660311200000.0,-0.0010458551,precursor,28.67,7900012.0,1228165100.0,738742.7,252489.81,2.0,-0.00188265,-0.0037653,Cluster 2,3.25%
21,21,43,1660311200000.0,28.64,0.0016419643,surge,1,0.0016419643,0.0016419643,0.0016419643,44.0,1660311200000.0,-0.00087121344,precursor,28.67,7871443.5,1228197000.0,737887.5,253637.95,2.0,-0.0014644356,-0.0029288712,Cluster 2,3.25%
22,22,45,1660311300000.0,28.64,0.0012225185,surge,1,0.0012225185,0.0012225185,0.0012225185,46.0,1660311300000.0,-0.001499558,precursor,28.67,7887540.5,1228188400.0,738440.3,253344.53,2.0,-0.003140718,-0.006281436,Cluster 2,3.25%
23,23,47,1660311400000.0,28.6,0.0021347397,surge,2,0.003391833,0.006783666,0.006783666,48.0,1660311400000.0,0.000244401,precursor,28.68,7861002.0,1228156700.0,737467.4,252238.58,1.0,0.000244401,0.000244401,Cluster 2,3.25%
24,24,49,1660311400000.0,28.68,0.0005928205,surge,1,0.0005928205,0.0005928205,0.0005928205,50.0,1660311600000.0,0.00024402389,precursor,28.71,7942980.5,1228239900.0,740241.1,255111.9,1.0,0.00024402389,0.00024402389,Cluster 2,3.25%
25,25,51,1660311600000.0,28.7,0.0026828782,surge,2,0.006474873,0.012949746,0.012949746,52.0,1660311700000.0,3.7149178e-07,precursor,28.87,7970663.0,1227444500.0,740645.0,251894.75,1.0,3.7149178e-07,3.7149178e-07,Cluster 2,3.25%
26,26,53,1660311800000.0,28.9,0.00048483632,surge,1,0.00048483632,0.00048483632,0.00048483632,54.0,1660312000000.0,-0.00072611717,precursor,28.9,7830809.0,1227449600.0,735326.94,252371.98,3.0,-0.0050206627,-0.0150619885,Cluster 2,3.25%
27,27,55,1660312200000.0,28.8,0.0031294553,surge,1,0.0031294553,0.0031294553,0.0031294553,56.0,1660312400000.0,-0.0020782454,precursor,28.86,7970325.0,1229607200.0,740408.75,326454.2,4.0,-0.009342123,-0.03736849,Cluster 2,3.25%
28,28,57,1660312900000.0,28.58,0.0022042424,surge,7,0.01658824,0.11611768,0.11611768,58.0,1660315100000.0,-0.0037131968,precursor,29.03,7976769.5,1229748100.0,739718.44,327432.88,6.0,-0.0053689093,-0.032213457,Cluster 2,3.25%
29,29,59,1660317300000.0,29.02,0.0050173113,surge,2,0.007051337,0.014102674,0.014102674,60.0,1660318400000.0,-0.0017516012,precursor,29.05,8079459.5,1229894300.0,743321.56,332308.75,3.0,-0.0029541,-0.0088623,Cluster 2,3.25%
30,30,61,1660319700000.0,29.02,0.00075819285,surge,1,0.00075819285,0.00075819285,0.00075819285,62.0,1660320000000.0,0.00044839372,precursor,29.03,7960607.5,1229861100.0,739396.06,331416.25,1.0,0.00044839372,0.00044839372,Cluster 2,3.25%
31,31,63,1660320400000.0,29.11,0.0008965804,surge,1,0.0008965804,0.0008965804,0.0008965804,64.0,1660321100000.0,-0.0009621878,precursor,29.11,8042445.0,1229398000.0,742020.06,315626.53,6.0,-0.00837577,-0.050254624,Cluster 2,3.25%
32,32,65,1660325000000.0,28.91,0.0005549294,surge,1,0.0005549294,0.0005549294,0.0005549294,66.0,1660325900000.0,-0.00055406505,precursor,28.85,8060657.5,1229544700.0,743603.2,321431.62,3.0,-0.0012123914,-0.0036371744,Cluster 2,3.25%
33,33,67,1660328500000.0,28.82,0.0009369941,surge,4,0.014306196,0.057224784,0.057224784,68.0,1660333300000.0,-0.0020518438,precursor,29.22,8159238.0,1229306500.0,734743.44,312051.75,3.0,-0.0046552746,-0.013965824,Cluster 2,3.25%
34,34,69,1660337000000.0,29.08,0.002785671,surge,1,0.002785671,0.002785671,0.002785671,70.0,1660339100000.0,-0.0009845828,precursor,29.17,8463229.0,1229428200.0,742822.75,314454.25,2.0,-0.0040370165,-0.008074033,Cluster 2,3.25%
35,35,71,1660341600000.0,29.05,0.0009979592,surge,2,0.0018579997,0.0037159994,0.0037159994,72.0,1660344500000.0,-0.0005485184,precursor,29.07,8478612.0,1229497500.0,744484.6,317178.5,1.0,-0.0005485184,-0.0005485184,Cluster 2,3.25%
