mp,timeStamp,mean,skew
10.8,1692505336994,4239.39781077586,-4228.59781077586
10.8,1692505346364,4246.693703471503,-4235.893703471503
10.8,1692505352214,4261.308479888483,-4250.508479888483
10.8,1692505360905,4262.868603492627,-4252.068603492627
10.8,1692505367050,4264.587204026081,-4253.787204026081
10.8,1692505373345,4265.815080633161,-4255.015080633161
10.8,1692505379004,4266.736154828913,-4255.936154828913
10.79,1692505385498,4247.010383795951,-4236.220383795951
10.79,1692505391079,4200.743862827324,-4189.953862827324
10.79,1692505397084,4162.756582431795,-4151.966582431795
10.79,1692505415280,4077.629266221666,-4066.839266221666
10.79,1692505421320,4059.224896552618,-4048.434896552618
10.79,1692505424469,4049.8914144079617,-4039.101414407962
10.79,1692505427353,4040.04651948097,-4029.25651948097
10.79,1692505439456,3998.979682994448,-3988.189682994448
10.79,1692505454674,3957.8451656239386,-3947.0551656239386
10.79,1692505463775,3937.77530925141,-3926.98530925141
10.79,1692505469909,3926.568994677014,-3915.778994677014
10.79,1692505475951,3915.619367926509,-3904.829367926509
10.79,1692505503625,3878.763751999682,-3867.973751999682
10.79,1692505519064,3868.1887330222444,-3857.3987330222444
10.79,1692505521869,3866.9668899741278,-3856.176889974128
10.79,1692505524880,3865.782702547218,-3854.992702547218
10.79,1692505527916,3864.634456411967,-3853.8444564119673
10.79,1692505531005,3863.0201439134244,-3852.2301439134244
10.79,1692505534010,3861.4537853841084,-3850.6637853841085
10.79,1692505540289,3857.207178120088,-3846.417178120088
10.79,1692505570928,3839.334978334054,-3828.544978334054
10.79,1692505574390,3838.2964030259764,-3827.5064030259764
10.79,1692505577891,3837.879212418331,-3827.089212418331
10.79,1692505581543,3837.4668104234856,-3826.6768104234857
10.79,1692505588323,3835.2804844355855,-3824.4904844355856
10.79,1692505595582,3832.3980590044143,-3821.6080590044144
10.79,1692505599479,3831.1786973962635,-3820.3886973962635
10.79,1692505603447,3829.964290918347,-3819.174290918347
10.79,1692505607370,3828.7757977714664,-3817.9857977714664
10.79,1692505611435,3827.6253822497365,-3816.8353822497365
10.79,1692505615504,3826.5001836971146,-3815.7101836971146
10.79,1692505619587,3825.399381972924,-3814.609381972924
10.79,1692505623763,3824.3221921200357,-3813.5321921200357
10.79,1692505628468,3822.9016918330126,-3812.1116918330126
10.79,1692505632690,3821.511272728538,-3810.721272728538
10.79,1692505637036,3820.4909059188935,-3809.7009059188936
10.79,1692505641302,3819.4867375377053,-3808.6967375377053
10.79,1692505645636,3818.1692047820347,-3807.379204782035
10.79,1692505650060,3816.8784437061863,-3806.0884437061864
10.79,1692505657613,3816.459663198577,-3805.669663198577
10.79,1692505668877,3815.947596428263,-3805.157596428263
10.79,1692505689517,3814.480371505606,-3803.690371505606
10.79,1692505698174,3813.6699741177476,-3802.8799741177477
10.79,1692505716385,3813.532042786138,-3802.742042786138
10.79,1692505738513,3812.002263417002,-3801.212263417002
10.79,1692505745674,3811.801099630283,-3801.011099630283
10.79,1692505752750,3811.077469145065,-3800.287469145065
10.79,1692505760054,3810.364399900191,-3799.574399900191
10.79,1692505767604,3809.38550520568,-3798.59550520568
10.79,1692505774800,3808.422032402943,-3797.632032402943
10.79,1692505782292,3807.7270769490897,-3796.9370769490897
10.79,1692505789590,3807.0428095738107,-3796.2528095738107
10.79,1692505796978,3806.2071586515553,-3795.4171586515554
10.79,1692505804400,3805.3842724212386,-3794.5942724212387
10.79,1692505818159,3803.9927319311187,-3793.2027319311187
