group,time,s_MP,change,type,length,sum_change,area,surge_area,group,time,change,type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,length,sum_change,area
1,1660221624234.0,30.0,0.5053640914141343,surge,1,0.5053640914141343,0.5053640914141343,0.5053640914141343,2.0,1660221654244.0,-0.0005333555332765139,precursor,29.98,7306552.6,1229787225.92,715246.91,314376.38,6.0,-0.005009517577848488,-0.030057105467090926
3,1660221833233.0,29.86,0.000670241362135271,surge,1,0.000670241362135271,0.000670241362135271,0.000670241362135271,4.0,1660221870345.0,0.00013456396268057835,precursor,29.89,7293630.54,1229796152.48,714871.56,314771.19,1.0,0.00013456396268057835,0.00013456396268057835
5,1660221919869.0,29.88,0.0012725720146344877,surge,2,0.0018077114875370004,0.003615422975074001,0.003615422975074001,6.0,1660222034957.0,-0.0002334771552137127,precursor,29.94,7348772.25,1229747527.67,716600.57,313351.78,3.0,-0.0034106020463434807,-0.010231806139030443
7,1660222271055.0,29.8,0.0008733601050908257,surge,2,0.002114419094538067,0.004228838189076134,0.004228838189076134,8.0,1660222420445.0,-0.0005019856460551475,precursor,29.87,7323907.02,1229738400.43,715906.34,313373.57,2.0,8.855895488269145e-07,1.771179097653829e-06
9,1660222682628.0,29.9,0.0013050532241966283,surge,1,0.0013050532241966283,0.0013050532241966283,0.0013050532241966283,10.0,1660222841455.0,-0.0007679907750198,precursor,29.95,7312223.63,1229791324.99,715186.92,314804.24,7.0,-0.013770361406119303,-0.09639252984283513
11,1660224354794.0,29.53,0.003083471158600082,surge,2,0.004638908763043936,0.009277817526087872,0.009277817526087872,12.0,1660224753790.0,-0.0003033591851679396,precursor,29.66,7120906.12,1229785538.44,709435.27,315750.81,2.0,-0.0028983469406860473,-0.0057966938813720946
13,1660225388493.0,29.71,0.003958903324169327,surge,4,0.008537104576284881,0.034148418305139525,0.034148418305139525,14.0,1660227295535.0,-0.0009037833621294511,precursor,29.9,6966951.67,1229811113.71,702494.34,315518.64,4.0,-0.023213834802978284,-0.09285533921191313
15,1660229130712.0,29.08,0.004761119546207071,surge,1,0.004761119546207071,0.004761119546207071,0.004761119546207071,16.0,1660230070305.0,-0.0021431479216210913,precursor,29.27,6978851.7,1229714544.02,704862.74,316162.67,3.0,-0.006617952362927814,-0.01985385708878344
17,1660232031793.0,29.12,0.0005916499415364429,surge,1,0.0005916499415364429,0.0005916499415364429,0.0005916499415364429,18.0,1660232571287.0,-0.006357929790066242,precursor,29.0,6876115.21,1229631911.95,702055.85,315492.8,2.0,-0.008602883052767497,-0.017205766105534995
19,1660233723285.0,28.88,0.0007977562693800677,surge,2,0.0033278480728270114,0.006655696145654023,0.006655696145654023,20.0,1660235738796.0,-0.0017954609908249152,precursor,28.96,6879753.26,1229751611.03,702301.16,319708.71,1.0,-0.0017954609908249152,-0.0017954609908249152
21,1660236563229.0,28.92,0.00329163271739219,surge,2,0.004880234439190301,0.009760468878380602,0.009760468878380602,22.0,1660238994784.0,-0.0018592080160969248,precursor,29.01,6719446.93,1229676343.81,696547.6,317284.0,4.0,-0.010555884081261624,-0.042223536325046496
23,1660242938273.0,28.77,0.003866506244937651,surge,1,0.003866506244937651,0.003866506244937651,0.003866506244937651,24.0,1660244452855.0,-0.00020506448168928771,precursor,28.86,6871385.38,1229622869.36,703350.68,321966.53,1.0,-0.00020506448168928771,-0.00020506448168928771
25,1660246492417.0,28.88,0.0023612002563171753,surge,1,0.0023612002563171753,0.0023612002563171753,0.0023612002563171753,26.0,1660247925484.0,-0.0018328087038829266,precursor,28.87,6858686.45,1229652049.88,702590.45,322914.68,1.0,-0.0018328087038829266,-0.0018328087038829266
27,1660249409516.0,28.78,0.0021871742341748714,surge,2,0.003056304138183974,0.006112608276367948,0.006112608276367948,28.0,1660254246655.0,-0.001724629096067809,precursor,28.81,7321805.3,1229593809.82,719095.91,322635.0,1.0,-0.001724629096067809,-0.001724629096067809
29,1660255628755.0,29.13,0.006737414116624452,surge,1,0.006737414116624452,0.006737414116624452,0.006737414116624452,30.0,1660257014538.0,-0.0024058987355835004,precursor,28.97,7332762.02,1229851431.48,718564.64,330850.52,4.0,-0.023311749380139846,-0.09324699752055939
31,1660264863730.0,28.59,0.008659070054320784,surge,2,0.012956148752290432,0.025912297504580864,0.025912297504580864,32.0,1660268816024.0,-0.0026076381894654553,precursor,28.71,7035737.66,1229865384.66,709471.05,332288.74,1.0,-0.0026076381894654553,-0.0026076381894654553
33,1660271241395.0,28.76,0.012938474551233602,surge,1,0.012938474551233602,0.012938474551233602,0.012938474551233602,34.0,1660273773858.0,-0.000797816054158651,precursor,29.15,7067507.35,1229958284.57,708404.35,334409.76,3.0,-0.005929489925833231,-0.01778846977749969
35,1660281659220.0,28.95,0.0010731799674419062,surge,1,0.0010731799674419062,0.0010731799674419062,0.0010731799674419062,36.0,1660284060099.0,-0.0005879721929594739,precursor,28.95,7095048.1,1229776614.09,710444.55,329409.48,2.0,-0.0050460285651609095,-0.010092057130321819
37,1660287963885.0,28.75,0.0008035010864528624,surge,3,0.008432130689934559,0.025296392069803678,0.025296392069803678,38.0,1660298674567.0,-0.006916548877707929,precursor,28.93,6738877.68,1230399895.41,697721.6,326866.67,2.0,-0.017880888942887474,-0.03576177788577495
39,1660305395924.0,28.43,0.0030392045462620198,surge,1,0.0030392045462620198,0.0030392045462620198,0.0030392045462620198,40.0,1660310239748.0,-0.5305858226136484,precursor,28.72,6859369.83,1228211685.57,701985.65,253934.12,1.0,-0.5305858226136484,-0.5305858226136484
41,1660311128019.0,28.71,0.8677857081180498,surge,1,0.8677857081180498,0.8677857081180498,0.8677857081180498,42.0,1660311158394.0,-0.001569062285270939,precursor,28.67,7917291.13,1228177168.94,739352.48,252910.1,2.0,-0.0014983397688442589,-0.0029966795376885178
43,1660311217771.0,28.69,0.0013972824667449423,surge,1,0.0013972824667449423,0.0013972824667449423,0.0013972824667449423,44.0,1660311247953.0,-0.0012201927402049173,precursor,28.65,7878701.79,1228181347.53,738139.89,253095.29,2.0,-0.0013596747458253233,-0.0027193494916506467
45,1660311308537.0,28.68,0.00101314295275301,surge,1,0.00101314295275301,0.00101314295275301,0.00101314295275301,46.0,1660311338465.0,-0.002267348922897017,precursor,28.63,7859396.09,1228186718.01,737458.12,253288.06,2.0,-0.002756016110578241,-0.005512032221156482
47,1660311399238.0,28.65,0.0021342874345697148,surge,2,0.0032512890297804685,0.006502578059560937,0.006502578059560937,48.0,1660311465251.0,0.00017443475145328957,precursor,28.68,7878300.47,1228148547.15,738064.4,251957.67,1.0,0.00017443475145328957,0.00017443475145328957
