mp,timeStamp,mean,skew
11.13,1692306831727,3616.2257227272694,-3605.0957227272693
11.13,1692306834594,3642.405065686813,-3631.275065686813
11.12,1692306843796,3664.530413618963,-3653.410413618963
11.12,1692306846684,3661.0091315737714,-3649.8891315737715
11.12,1692306853341,3678.7987293497636,-3667.6787293497637
11.12,1692306858593,3701.853151845523,-3690.733151845523
11.12,1692306861592,3706.9215801434916,-3695.8015801434917
11.12,1692306864760,3706.841409126618,-3695.7214091266183
11.12,1692306867621,3716.798363642999,-3705.678363642999
11.12,1692306873807,3731.100313013463,-3719.9803130134633
11.12,1692306879760,3726.1148183471137,-3714.994818347114
11.11,1692306882709,3702.9293190635635,-3691.8193190635634
11.1,1692306894878,3561.996407142862,-3550.8964071428622
11.11,1692306900895,3545.909337772178,-3534.7993377721778
11.11,1692306909925,3515.662202609516,-3504.552202609516
11.11,1692306916367,3516.2272231981806,-3505.1172231981805
11.09,1692306928155,3468.5140455074406,-3457.4240455074405
11.09,1692306931187,3432.912521434512,-3421.822521434512
11.1,1692306934302,3419.1804702158065,-3408.0804702158066
11.1,1692306942429,3389.3248464790663,-3378.2248464790664
11.1,1692306943657,3375.6484230691435,-3364.5484230691436
11.1,1692306952715,3333.9892930383403,-3322.8892930383404
11.1,1692306958825,3310.7118216393596,-3299.6118216393597
11.1,1692306961878,3298.137023825084,-3287.037023825084
11.12,1692306970960,3305.056019276303,-3293.936019276303
11.12,1692306974209,3315.6187257267825,-3304.4987257267826
11.12,1692306980130,3336.122993324075,-3325.0029933240753
11.12,1692306983182,3345.766053003749,-3334.6460530037493
11.12,1692306986421,3355.641000315069,-3344.521000315069
11.11,1692306995430,3354.2877351867164,-3343.1777351867163
11.12,1692307011160,3358.8177166168075,-3347.6977166168076
11.12,1692307013796,3364.5214018330403,-3353.4014018330404
11.13,1692307019822,3378.3400745954646,-3367.2100745954644
11.13,1692307023199,3384.1718470352316,-3373.0418470352315
11.13,1692307028966,3395.535567923572,-3384.405567923572
11.13,1692307032013,3401.108760554934,-3389.978760554934
11.1,1692307044419,3413.3683466265657,-3402.2683466265657
11.1,1692307047402,3415.2547431686635,-3404.1547431686636
11.1,1692307050396,3417.9074828161197,-3406.80748281612
11.1,1692307053441,3420.1115983858217,-3409.011598385822
11.11,1692307056532,3417.977641950361,-3406.867641950361
11.12,1692307062721,3422.867529557421,-3411.7475295574213
11.11,1692307078405,3415.323437753067,-3404.213437753067
11.12,1692307082138,3421.565252338291,-3410.445252338291
11.12,1692307086006,3427.753341581288,-3416.6333415812883
11.13,1692307089969,3433.3040302934855,-3422.1740302934854
11.13,1692307103140,3451.897519848023,-3440.767519848023
11.12,1692307114879,3462.6194625656553,-3451.4994625656554
11.13,1692307122831,3471.5302658304267,-3460.4002658304266
11.13,1692307127704,3475.1951080748486,-3464.0651080748485
11.13,1692307138729,3485.3499569760365,-3474.2199569760364
11.12,1692307150086,3494.2286754592146,-3483.1086754592147
11.12,1692307155559,3498.08298574145,-3486.96298574145
11.13,1692307173612,3517.415481178312,-3506.285481178312
11.13,1692307182815,3523.438676735855,-3512.308676735855
11.13,1692307190915,3526.678706920819,-3515.548706920819
11.13,1692307206602,3538.5251594370698,-3527.3951594370697
11.13,1692307213307,3540.2271329203277,-3529.0971329203276
11.14,1692307223206,3553.6561612808073,-3542.5161612808074
11.14,1692307230148,3559.277565105873,-3548.137565105873
11.14,1692307250051,3586.5031272458405,-3575.3631272458406
11.15,1692307261291,3590.9193352400234,-3579.7693352400233
11.16,1692307278804,3603.6100726897407,-3592.450072689741
11.16,1692307288430,3608.578827673607,-3597.418827673607
11.15,1692307300356,3615.2873843290117,-3604.1373843290116
11.16,1692307312667,3623.982202355523,-3612.822202355523
11.15,1692307327670,3623.343159123707,-3612.193159123707
11.15,1692307336542,3623.2933265061783,-3612.1433265061783
11.15,1692307346151,3631.686760298083,-3620.5367602980828
11.15,1692307365368,3648.351702716716,-3637.2017027167158
11.15,1692307381922,3660.4619364169494,-3649.3119364169493
11.15,1692307399303,3674.284824660107,-3663.134824660107
11.15,1692307410642,3678.2417655241175,-3667.0917655241174
11.16,1692307421962,3681.8248803840215,-3670.6648803840217
11.16,1692307433473,3685.137391318639,-3673.977391318639
11.16,1692307445777,3688.4087460383685,-3677.2487460383686
11.16,1692307463850,3697.6587273774303,-3686.4987273774304
11.16,1692307476012,3700.5476548992356,-3689.3876548992357
11.15,1692307501321,3719.2080534717716,-3708.0580534717715
11.15,1692307527609,3733.870800412478,-3722.7208004124777
11.15,1692307541713,3737.3447116893744,-3726.1947116893743
11.15,1692307559289,3743.535493150105,-3732.385493150105
11.15,1692307573865,3746.1553507417957,-3735.0053507417956
11.15,1692307608072,3762.207629151225,-3751.057629151225
11.14,1692307627692,3762.2112002502136,-3751.0712002502137
11.14,1692307644452,3762.1527686901227,-3751.012768690123
11.14,1692307661280,3761.2607807267677,-3750.120780726768
11.13,1692307694193,3770.922004464734,-3759.792004464734
11.14,1692307721557,3778.5882814876095,-3767.4482814876096
11.13,1692307748063,3784.1390220370854,-3773.0090220370853
11.12,1692307774844,3772.4162090515033,-3761.2962090515034
11.11,1692307796898,3771.5533085558395,-3760.4433085558394
11.1,1692307820727,3762.46051696773,-3751.3605169677303
11.1,1692307843659,3757.457966404741,-3746.357966404741
11.09,1692307867932,3745.1288672588653,-3734.038867258865
11.08,1692307889107,3736.7245788021005,-3725.6445788021006
11.08,1692307910423,3728.2089154782866,-3717.1289154782867
11.08,1692307941674,3698.730891947894,-3687.6508919478943
11.1,1692307970524,3691.256815069283,-3680.1568150692833
11.09,1692307993419,3686.1878773037124,-3675.0978773037123
11.09,1692308016700,3682.630028864355,-3671.540028864355
11.09,1692308043526,3674.439825210309,-3663.349825210309
11.09,1692308074235,3663.431960747021,-3652.341960747021
11.09,1692308098494,3658.9075584706316,-3647.8175584706314
11.08,1692308122795,3655.2297609719867,-3644.149760971987
11.06,1692308150949,3644.4375555254974,-3633.3775555254974
11.05,1692308177175,3638.9031539253997,-3627.8531539253995
11.05,1692308206162,3632.5095082770727,-3621.4595082770725
11.06,1692308232064,3631.4570350514205,-3620.3970350514205
10.68,1692308549800,3567.3466363825623,-3556.6666363825625
10.11,1692308651529,3558.707058728424,-3548.5970587284237
10.09,1692308698154,3554.360033370968,-3544.2700333709677
10.63,1692309002321,3549.710887244387,-3539.0808872443868
10.57,1692309100436,3549.244504736951,-3538.674504736951
10.54,1692309146987,3545.7943585346484,-3535.2543585346484
10.58,1692309189960,3544.607487034919,-3534.027487034919
10.6,1692309217414,3543.410733614665,-3532.810733614665
10.59,1692309250851,3539.438190887284,-3528.8481908872836
10.61,1692309278343,3538.0313822800404,-3527.4213822800402
10.65,1692309308796,3534.4550119204746,-3523.8050119204745
10.63,1692309370958,3528.4465534985093,-3517.816553498509
10.62,1692309398641,3526.3360342293213,-3515.7160342293214
10.64,1692309426196,3524.220783543199,-3513.5807835431992
10.63,1692309455330,3522.495904147069,-3511.8659041470687
10.6,1692309482979,3520.5923231240454,-3509.9923231240455
10.6,1692309510808,3518.7686239931345,-3508.1686239931346
10.59,1692309543336,3517.0598775040403,-3506.46987750404
10.6,1692309572913,3515.7588186817366,-3505.1588186817366
10.59,1692309607202,3512.7507334591246,-3502.1607334591245
10.6,1692309635606,3511.7094207898426,-3501.1094207898427
10.6,1692309663922,3510.2381108170584,-3499.6381108170585
10.63,1692309692037,3509.5207375486452,-3498.890737548645
10.65,1692309720674,3508.084467690594,-3497.434467690594
10.65,1692309749324,3505.5878099955994,-3494.9378099955993
10.64,1692309778601,3504.7777596547226,-3494.1377596547227
10.62,1692309807458,3504.047378841802,-3493.4273788418022
10.62,1692309836422,3503.647013551077,-3493.0270135510773
10.56,1692309865293,3503.737491098008,-3493.177491098008
10.56,1692309906575,3497.7976867956454,-3487.2376867956455
10.57,1692309936565,3496.853979254666,-3486.2839792546656
10.55,1692309969710,3495.593334679046,-3485.043334679046
10.5,1692309999351,3493.734341977632,-3483.234341977632
10.5,1692310028970,3491.148586165256,-3480.648586165256
10.48,1692310061747,3484.8393360789455,-3474.3593360789455
10.45,1692310092291,3483.59022563754,-3473.14022563754
10.4,1692310123944,3480.035409204524,-3469.635409204524
10.41,1692310154073,3476.499750870835,-3466.0897508708354
10.45,1692310187318,3470.674763002619,-3460.224763002619
10.44,1692310217410,3467.370978918794,-3456.930978918794
10.41,1692310247923,3464.309610727359,-3453.8996107273592
10.37,1692310318142,3448.2525804218667,-3437.882580421867
10.37,1692310348931,3446.048031709507,-3435.678031709507
10.37,1692310380370,3442.773341970161,-3432.403341970161
10.4,1692310596199,3396.8269128310512,-3386.426912831051
10.43,1692310629596,3393.7612429758387,-3383.331242975839
10.44,1692310662907,3392.1530585682426,-3381.7130585682426
10.43,1692310701369,3391.7539834058866,-3381.323983405887
10.43,1692310734719,3389.6829090252363,-3379.2529090252365
10.42,1692310766896,3389.014890966405,-3378.594890966405
10.44,1692310799085,3387.965537232553,-3377.525537232553
10.42,1692310831208,3387.2507766108356,-3376.8307766108355
10.46,1692310866331,3384.485335924412,-3374.025335924412
10.43,1692310901798,3378.476663616195,-3368.046663616195
10.46,1692310934625,3376.551945991698,-3366.091945991698
10.44,1692310979133,3365.780750560702,-3355.340750560702
10.42,1692311014865,3360.749889639184,-3350.329889639184
10.41,1692311049620,3359.3572739108786,-3348.9472739108787
10.41,1692311094484,3346.2266282007135,-3335.8166282007137
10.43,1692311128104,3342.8806305891267,-3332.450630589127
10.43,1692311167204,3336.3571871209742,-3325.9271871209744
10.45,1692311206000,3333.720415509926,-3323.2704155099264
10.44,1692311238915,3332.5664634778063,-3322.1264634778063
10.44,1692311274966,3330.7374474077606,-3320.2974474077605
10.44,1692311313318,3329.9589296794506,-3319.5189296794506
10.42,1692311346549,3329.4330138596347,-3319.0130138596346
10.48,1692311386733,3327.304273216367,-3316.824273216367
10.48,1692311454910,3327.476000527563,-3316.996000527563
10.52,1692311492435,3325.970361945719,-3315.450361945719
10.46,1692311526992,3324.8726458989736,-3314.4126458989736
10.45,1692311566617,3321.686839912991,-3311.2368399129914
10.45,1692311611742,3315.7263697596004,-3305.2763697596006
10.45,1692311647472,3314.3367951798014,-3303.8867951798015
10.45,1692311696367,3304.1893208058227,-3293.739320805823
10.47,1692311733370,3304.633812113165,-3294.163812113165
10.46,1692311786828,3290.358116622876,-3279.898116622876
