mp,timeStamp,mean,skew
11.76,1692133833388,4403.692857950818,-4391.932857950817
11.76,1692133836682,4401.642125450817,-4389.882125450817
11.76,1692133839382,4400.958547950818,-4389.198547950818
11.76,1692133842325,4400.616759200818,-4388.856759200818
11.76,1692133845428,4434.604086754529,-4422.844086754529
11.76,1692133848341,4453.151848046766,-4441.3918480467655
11.76,1692133851358,4434.831812714452,-4423.071812714452
11.76,1692133857483,4417.341841368619,-4405.581841368618
11.76,1692133860828,4411.680341452019,-4399.920341452019
11.76,1692133863408,4403.781704274025,-4392.021704274025
11.77,1692133866392,4398.037885688841,-4386.267885688841
11.77,1692133869530,4407.11430674066,-4395.34430674066
11.77,1692133872471,4418.215315197653,-4406.445315197652
11.77,1692133875453,4430.312653752771,-4418.542653752771
11.77,1692133878515,4441.516306182583,-4429.746306182583
11.77,1692133881508,4451.445554378683,-4439.675554378682
11.77,1692133890533,4478.444814634058,-4466.674814634058
11.77,1692133893522,4485.752236851569,-4473.982236851569
11.77,1692133896563,4492.058950381546,-4480.288950381546
11.77,1692133900031,4498.773215049372,-4487.003215049372
11.77,1692133902560,4503.371474543872,-4491.6014745438715
11.77,1692133905623,4509.132136160606,-4497.362136160606
11.77,1692133908633,4512.651389795466,-4500.881389795465
11.77,1692133911760,4520.477933021007,-4508.707933021006
11.77,1692133914703,4524.037085043882,-4512.267085043882
11.77,1692133917691,4528.826106297931,-4517.0561062979305
11.77,1692133920845,4534.594478256811,-4522.824478256811
11.77,1692133932813,4547.7083111916745,-4535.938311191674
11.77,1692133935801,4550.317901019514,-4538.547901019513
11.77,1692133938855,4551.137552103889,-4539.367552103889
11.77,1692133941855,4549.309202701265,-4537.539202701265
11.77,1692133944940,4550.113489703431,-4538.34348970343
11.77,1692133947951,4550.510033877811,-4538.740033877811
11.77,1692133950992,4551.514046912226,-4539.744046912226
11.77,1692133954030,4552.469522538017,-4540.699522538017
11.77,1692133957007,4553.470707363161,-4541.70070736316
