group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_targets_met_pct,group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_area,surge_targets_met_pct
2,1660221661058.0,29.99,-0.0006334333369888312,precursor,29.94,-0.0007983390679019431,4.5618066481734054e-05,-0.0001734182758492686,0.006228396269536085,6,-0.004876195471337363,29.99,29.99,29.97,29.84,-0.02925717282802418,-0.06668889629876484,3,1660221846604.0,29.84,0.0010388067917305843,surge,29.84,-0.0007983390679019431,4.5618066481734054e-05,-0.0001734182758492686,0.006228396269536085,1,0.0010388067917305843,29.84,29.84,29.84,29.84,0.0010388067917305843,0.0010388067917305843,0.0
4,1660221882079.0,29.84,-0.0001335886336668035,precursor,29.87,-0.0031289869855316566,-3.2080284349977894e-05,-0.0010805765717789573,-0.004202872304329919,1,-0.0001335886336668035,29.84,29.84,29.87,29.87,-0.0001335886336668035,0.10053619302949443,5,1660221935237.0,29.91,0.0012725384467286327,surge,29.87,-0.0031289869855316566,-3.2080284349977894e-05,-0.0010805765717789573,-0.004202872304329919,2,0.0018745563175393332,29.92,29.91,29.87,29.87,0.0037491126350786665,0.0037491126350786665,-0.167112299465243
6,1660222061721.0,29.92,-0.0007014699485381248,precursor,29.9,0.0004401192399335896,-7.17827576190988e-06,0.0002944385892638124,-0.0007171232247440429,3,-0.004013269713825496,29.92,29.92,29.9,29.83,-0.012039809141476489,-0.06684491978610671,7,1660222301836.0,29.83,0.002147516142040762,surge,29.83,0.0004401192399335896,-7.17827576190988e-06,0.0002944385892638124,-0.0007171232247440429,1,0.002147516142040762,29.83,29.83,29.83,29.83,0.002147516142040762,0.002147516142040762,0.0
8,1660222371351.0,29.83,0.00036884579210995084,precursor,29.89,-0.003817793227231525,1.257457246062188e-05,-0.001505375975529688,0.0011042823457808604,2,-0.0003003528123037391,29.83,29.83,29.9,29.89,-0.0006007056246074782,0.23466309084814044,9,1660222565092.0,29.9,0.001038447600861847,surge,29.9,-0.003817793227231525,1.257457246062188e-05,-0.001505375975529688,0.0011042823457808604,2,0.002209318266337923,29.92,29.9,29.9,29.9,0.004418636532675846,0.004418636532675846,-0.06684491978610671
10,1660222873842.0,29.92,-0.001637075786583031,precursor,29.9,0.009043694518076628,2.5050011377203418e-05,0.004398615976069387,0.007862813719480166,7,-0.013462554708589203,29.92,29.92,29.9,29.53,-0.09423788296012442,-0.06684491978610671,11,1660224456056.0,29.59,0.003420814743727685,surge,29.53,0.009043694518076628,2.5050011377203418e-05,0.004398615976069387,0.007862813719480166,2,0.004467849890142306,29.67,29.59,29.53,29.53,0.008935699780284611,0.008935699780284611,-0.47185709470846166
12,1660224816723.0,29.67,-0.001988507196892808,precursor,29.68,0.0044134308911915054,0.0001514176339074691,0.0016554434667055418,0.020194298453431125,2,-0.0019495538004311807,29.67,29.67,29.68,29.52,-0.0038991076008623613,0.0337040781934547,13,1660225582396.0,29.68,0.0029425766765888038,surge,29.52,0.0044134308911915054,0.0001514176339074691,0.0016554434667055418,0.020194298453431125,4,0.008089506281866055,29.8,29.68,29.52,29.52,0.03235802512746422,0.03235802512746422,-0.9395973154362454
14,1660227384429.0,29.8,-0.003916341532809653,precursor,29.9,-0.017945175648564793,-0.00020926812489141522,-0.0029113239016144155,-0.016353871799043795,4,-0.025037905461649634,29.8,29.8,29.9,29.06,-0.10015162184659854,0.3355704697986506,15,1660229437076.0,29.29,0.006742427822226738,surge,29.06,-0.017945175648564793,-0.00020926812489141522,-0.0029113239016144155,-0.016353871799043795,1,0.006742427822226738,29.29,29.29,29.06,29.06,0.006742427822226738,0.006742427822226738,-0.7852509388869937
16,1660230289412.0,29.29,-0.005292071111817042,precursor,29.28,0.013487072822920831,4.2114499837264674e-05,0.0052579195780744215,0.010930267715244857,2,-0.008439641911365724,29.29,29.29,29.28,29.05,-0.016879283822731447,-0.034141345168992865,17,1660231404272.0,29.1,0.0018971279259637707,surge,29.05,0.013487072822920831,4.2114499837264674e-05,0.0052579195780744215,0.010930267715244857,1,0.0018971279259637707,29.1,29.1,29.05,29.05,0.0018971279259637707,0.0018971279259637707,-0.1718213058419268
18,1660232165793.0,29.1,-0.0021280228288913295,precursor,29.14,-0.008300939786809458,0.00010147289405881832,-0.0017933046486532378,0.01576006957697018,3,-0.00880496922289774,29.1,29.1,29.14,28.83,-0.02641490766869322,0.1374570446735366,19,1660234164628.0,28.89,0.0011097755526954356,surge,28.83,-0.008300939786809458,0.00010147289405881832,-0.0017933046486532378,0.01576006957697018,2,0.0032923579228744783,28.92,28.89,28.83,28.83,0.006584715845748957,0.006584715845748957,-0.31120331950208646
20,1660236061537.0,28.92,-0.00196775348465994,precursor,28.87,-0.005146838396157594,-6.69959898296213e-05,-0.0015735266652338042,-0.008873710078384556,1,-0.00196775348465994,28.92,28.92,28.87,28.87,-0.00196775348465994,-0.1728907330567106,21,1660237062082.0,28.99,0.0040513713193025104,surge,28.87,-0.005146838396157594,-6.69959898296213e-05,-0.0015735266652338042,-0.008873710078384556,1,0.0040513713193025104,28.99,28.99,28.87,28.87,0.0040513713193025104,0.0040513713193025104,-0.4139358399447997
